Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:37.502,,14
2,6,Nico RosbergROS,Mercedes,1:37.733,+0.231s,13
3,14,Fernando AlonsoALO,Ferrari,1:37.953,+0.451s,17
4,27,Nico HulkenbergHUL,Force India Mercedes,1:38.122,+0.620s,10
5,22,Jenson ButtonBUT,McLaren Mercedes,1:38.636,+1.134s,16
6,7,Kimi RäikkönenRAI,Ferrari,1:38.783,+1.281s,12
7,20,Kevin MagnussenMAG,McLaren Mercedes,1:38.949,+1.447s,15
8,26,Daniil KvyatKVY,STR Renault,1:39.056,+1.554s,24
9,11,Sergio PerezPER,Force India Mercedes,1:39.102,+1.600s,21
10,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.389,+1.887s,16
11,19,Felipe MassaMAS,Williams Mercedes,1:39.533,+2.031s,11
12,25,Jean-Eric VergneVER,STR Renault,1:39.862,+2.360s,26
13,40,Felipe NasrNAS,Williams Mercedes,1:40.078,+2.576s,14
14,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:40.406,+2.904s,19
15,99,Adrian SutilSUT,Sauber Ferrari,1:40.652,+3.150s,20
16,13,Pastor MaldonadoMAL,Lotus Renault,1:40.793,+3.291s,31
17,17,Jules BianchiBIA,Marussia Ferrari,1:40.889,+3.387s,20
18,36,Giedo van der GardeVDG,Sauber Ferrari,1:40.913,+3.411s,20
19,8,Romain GrosjeanGRO,Lotus Renault,1:41.036,+3.534s,24
20,4,Max ChiltonCHI,Marussia Ferrari,1:41.794,+4.292s,20
21,46,Robin FrijnsFRI,Caterham Renault,1:42.417,+4.915s,35
22,9,Marcus EricssonERI,Caterham Renault,1:42.711,+5.209s,21
