Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:20.330,8
2,6,Jacques VilleneuveVIL,Williams Renault,1:20.339,10
3,3,Jean AlesiALE,Benetton Renault,1:21.088,9
4,1,Michael SchumacherMSC,Ferrari,1:21.236,9
5,4,Gerhard BergerBER,Benetton Renault,1:21.293,9
6,2,Eddie IrvineIRV,Ferrari,1:21.362,10
7,7,Mika HakkinenHAK,McLaren Mercedes,1:21.640,9
8,8,David CoulthardCOU,McLaren Mercedes,1:22.066,9
9,11,Rubens BarrichelloBAR,Jordan Peugeot,1:22.205,12
10,12,Martin BrundleBRU,Jordan Peugeot,1:22.324,10
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:22.325,11
12,14,Johnny HerbertHER,Sauber Ford,1:22.655,12
13,19,Mika SaloSAL,Tyrrell Yamaha,1:22.765,12
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.013,11
15,9,Olivier PanisPAN,Ligier Mugen Honda,1:23.055,10
16,17,Jos VerstappenVER,Footwork Hart,1:23.531,10
17,16,Ricardo RossetROS,Footwork Hart,1:24.230,10
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:24.293,11
19,20,Pedro LamyLAM,Minardi Ford,1:24.510,11
20,21,Giovanni LavaggiLAV,Minardi Ford,1:25.612,12
