Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:18.111,7
2,11,Rubens BarrichelloBAR,Jordan Peugeot,1:19.092,11
3,6,Jacques VilleneuveVIL,Williams Renault,1:19.254,11
4,1,Michael SchumacherMSC,Ferrari,1:19.474,11
5,3,Jean AlesiALE,Benetton Renault,1:19.484,9
6,12,Martin BrundleBRU,Jordan Peugeot,1:19.519,12
7,7,Mika HakkinenHAK,McLaren Mercedes,1:19.607,12
8,4,Gerhard BergerBER,Benetton Renault,1:19.762,11
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:19.799,11
10,2,Eddie IrvineIRV,Ferrari,1:19.951,12
11,19,Mika SaloSAL,Tyrrell Yamaha,1:20.000,12
12,14,Johnny HerbertHER,Sauber Ford,1:20.144,12
13,17,Jos VerstappenVER,Footwork Hart,1:20.157,12
14,8,David CoulthardCOU,McLaren Mercedes,1:20.167,12
15,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.427,12
16,16,Ricardo RossetROS,Footwork Hart,1:20.440,10
17,21,Tarso MarquesMAR,Minardi Ford,1:21.421,12
18,20,Pedro LamyLAM,Minardi Ford,1:21.491,12
19,22,Luca BadoerBAD,Forti Ford,1:23.174,12
20,23,Andrea MonterminiMON,Forti Ford,1:23.454,11
