Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:18.941,9
2,6,Jacques VilleneuveVIL,Williams Renault,1:19.721,12
3,1,Michael SchumacherMSC,Ferrari,1:20.149,11
4,3,Jean AlesiALE,Benetton Renault,1:20.711,9
5,11,Rubens BarrichelloBAR,Jordan Peugeot,1:20.818,12
6,8,David CoulthardCOU,McLaren Mercedes,1:20.888,12
7,2,Eddie IrvineIRV,Ferrari,1:20.931,12
8,4,Gerhard BergerBER,Benetton Renault,1:21.054,12
9,7,Mika HakkinenHAK,McLaren Mercedes,1:21.078,11
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:21.113,12
11,12,Martin BrundleBRU,Jordan Peugeot,1:21.177,11
12,14,Johnny HerbertHER,Sauber Ford,1:21.210,12
13,17,Jos VerstappenVER,Footwork Hart,1:21.367,12
14,19,Mika SaloSAL,Tyrrell Yamaha,1:21.458,12
15,9,Olivier PanisPAN,Ligier Mugen Honda,1:21.509,11
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.812,11
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:22.733,12
18,21,Giancarlo FisichellaFIS,Minardi Ford,1:22.921,11
19,20,Pedro LamyLAM,Minardi Ford,1:23.139,12
20,16,Ricardo RossetROS,Footwork Hart,1:23.620,11
21,23,Andrea MonterminiMON,Forti Ford,1:25.053,12
22,22,Luca BadoerBAD,Forti Ford,1:25.840,12
