Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:20.356,11
2,5,Damon HillHIL,Williams Renault,1:20.866,12
3,3,Jean AlesiALE,Benetton Renault,1:20.918,12
4,4,Gerhard BergerBER,Benetton Renault,1:21.067,11
5,8,David CoulthardCOU,McLaren Mercedes,1:21.460,12
6,11,Rubens BarrichelloBAR,Jordan Peugeot,1:21.504,11
7,2,Eddie IrvineIRV,Ferrari,1:21.542,12
8,7,Mika HakkinenHAK,McLaren Mercedes,1:21.688,12
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:21.929,12
10,6,Jacques VilleneuveVIL,Williams Renault,1:21.963,12
11,19,Mika SaloSAL,Tyrrell Yamaha,1:22.235,12
12,17,Jos VerstappenVER,Footwork Hart,1:22.327,11
13,14,Johnny HerbertHER,Sauber Ford,1:22.346,10
14,9,Olivier PanisPAN,Ligier Mugen Honda,1:22.358,7
15,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:22.460,12
16,12,Martin BrundleBRU,Jordan Peugeot,1:22.519,12
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:22.682,11
18,21,Giancarlo FisichellaFIS,Minardi Ford,1:22.684,12
19,20,Pedro LamyLAM,Minardi Ford,1:23.350,12
20,16,Ricardo RossetROS,Footwork Hart,1:24.976,11
21,22,Luca BadoerBAD,Forti Ford,1:25.059,5
22,23,Andrea MonterminiMON,Forti Ford,1:25.393,11
