Pos,No,Driver,Car,Time,Laps
1,6,Jacques VilleneuveVIL,Williams Renault,1:32.371,11
2,5,Damon HillHIL,Williams Renault,1:32.509,11
3,2,Eddie IrvineIRV,Ferrari,1:32.889,12
4,1,Michael SchumacherMSC,Ferrari,1:33.125,11
5,7,Mika HakkinenHAK,McLaren Mercedes,1:34.054,12
6,3,Jean AlesiALE,Benetton Renault,1:34.257,12
7,4,Gerhard BergerBER,Benetton Renault,1:34.344,11
8,11,Rubens BarrichelloBAR,Jordan Peugeot,1:34.474,12
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:34.494,11
10,19,Mika SaloSAL,Tyrrell Yamaha,1:34.832,12
11,9,Olivier PanisPAN,Ligier Mugen Honda,1:35.330,12
12,17,Jos VerstappenVER,Footwork Hart,1:35.338,11
13,8,David CoulthardCOU,McLaren Mercedes,1:35.351,12
14,14,Johnny HerbertHER,Sauber Ford,1:35.453,12
15,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:35.715,12
16,21,Giancarlo FisichellaFIS,Minardi Ford,1:35.898,5
17,20,Pedro LamyLAM,Minardi Ford,1:36.109,12
18,16,Ricardo RossetROS,Footwork Hart,1:36.198,12
19,12,Martin BrundleBRU,Jordan Peugeot,1:36.286,12
20,10,Pedro DinizDIN,Ligier Mugen Honda,1:36.298,12
21,22,Luca BadoerBAD,Forti Ford,1:39.202,11
22,23,Andrea MonterminiMON,Forti Ford,1:42.087,4
