Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:15.989,10
2,5,Damon HillHIL,Williams Renault,1:16.058,12
3,3,Jean AlesiALE,Benetton Renault,1:16.310,10
4,4,Gerhard BergerBER,Benetton Renault,1:16.592,12
5,7,Mika HakkinenHAK,McLaren Mercedes,1:16.634,12
6,6,Jacques VilleneuveVIL,Williams Renault,1:16.905,12
7,8,David CoulthardCOU,McLaren Mercedes,1:17.007,12
8,12,Martin BrundleBRU,Jordan Peugeot,1:17.187,12
9,9,Olivier PanisPAN,Ligier Mugen Honda,1:17.390,10
10,2,Eddie IrvineIRV,Ferrari,1:17.443,12
11,11,Rubens BarrichelloBAR,Jordan Peugeot,1:17.665,12
12,10,Pedro DinizDIN,Ligier Mugen Honda,1:17.676,12
13,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:17.739,12
14,19,Mika SaloSAL,Tyrrell Yamaha,1:18.021,12
15,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.242,12
16,17,Jos VerstappenVER,Footwork Hart,1:18.324,12
17,14,Johnny HerbertHER,Sauber Ford,1:18.556,12
18,21,Giancarlo FisichellaFIS,Minardi Ford,1:18.604,10
19,20,Pedro LamyLAM,Minardi Ford,1:19.210,12
20,16,Ricardo RossetROS,Footwork Hart,1:19.242,12
21,22,Luca BadoerBAD,Forti Ford,1:20.562,11
22,23,Andrea MonterminiMON,Forti Ford,1:20.647,12
