Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:26.875,10
2,6,Jacques VilleneuveVIL,Williams Renault,1:27.070,12
3,1,Michael SchumacherMSC,Ferrari,1:27.707,9
4,7,Mika HakkinenHAK,McLaren Mercedes,1:27.856,12
5,3,Jean AlesiALE,Benetton Renault,1:28.307,10
6,11,Rubens BarrichelloBAR,Jordan Peugeot,1:28.409,12
7,4,Gerhard BergerBER,Benetton Renault,1:28.653,9
8,12,Martin BrundleBRU,Jordan Peugeot,1:28.946,11
9,8,David CoulthardCOU,McLaren Mercedes,1:28.966,12
10,2,Eddie IrvineIRV,Ferrari,1:29.186,12
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:29.591,12
12,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:29.913,12
13,14,Johnny HerbertHER,Sauber Ford,1:29.947,12
14,19,Mika SaloSAL,Tyrrell Yamaha,1:29.949,12
15,17,Jos VerstappenVER,Footwork Hart,1:30.102,12
16,9,Olivier PanisPAN,Ligier Mugen Honda,1:30.167,10
17,16,Ricardo RossetROS,Footwork Hart,1:30.529,11
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:31.076,12
19,21,Giancarlo FisichellaFIS,Minardi Ford,1:31.365,11
20,20,Pedro LamyLAM,Minardi Ford,1:31.454,12
21,23,Andrea MonterminiMON,Forti Ford,1:35.206,3
22,22,Luca BadoerBAD,Forti Ford,1:35.304,3
