Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:17.129,9
2,5,Damon HillHIL,Williams Renault,1:17.182,12
3,6,Jacques VilleneuveVIL,Williams Renault,1:17.259,11
4,2,Eddie IrvineIRV,Ferrari,1:18.617,12
5,3,Jean AlesiALE,Benetton Renault,1:18.754,9
6,4,Gerhard BergerBER,Benetton Renault,1:18.794,12
7,7,Mika HakkinenHAK,McLaren Mercedes,1:19.116,11
8,14,Johnny HerbertHER,Sauber Ford,1:19.292,12
9,8,David CoulthardCOU,McLaren Mercedes,1:19.384,12
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:19.436,10
11,9,Olivier PanisPAN,Ligier Mugen Honda,1:19.538,11
12,12,Martin BrundleBRU,Jordan Peugeot,1:19.828,12
13,11,Rubens BarrichelloBAR,Jordan Peugeot,1:19.966,12
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.499,12
15,10,Pedro DinizDIN,Ligier Mugen Honda,1:20.665,12
16,19,Mika SaloSAL,Tyrrell Yamaha,1:20.678,12
17,17,Jos VerstappenVER,Footwork Hart,1:20.781,11
18,16,Ricardo RossetROS,Footwork Hart,1:21.590,12
19,20,Pedro LamyLAM,Minardi Ford,1:21.713,12
20,21,Giovanni LavaggiLAV,Minardi Ford,1:22.468,12
