Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:21.059,11
2,6,Jacques VilleneuveVIL,Williams Renault,1:21.079,12
3,1,Michael SchumacherMSC,Ferrari,1:21.198,10
4,3,Jean AlesiALE,Benetton Renault,1:21.529,8
5,2,Eddie IrvineIRV,Ferrari,1:21.657,9
6,7,Mika HakkinenHAK,McLaren Mercedes,1:21.807,12
7,4,Gerhard BergerBER,Benetton Renault,1:21.926,10
8,11,Rubens BarrichelloBAR,Jordan Peugeot,1:21.982,12
9,12,Martin BrundleBRU,Jordan Peugeot,1:22.321,12
10,8,David CoulthardCOU,McLaren Mercedes,1:22.332,11
11,9,Olivier PanisPAN,Ligier Mugen Honda,1:22.481,11
12,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:22.875,11
13,17,Jos VerstappenVER,Footwork Hart,1:23.067,11
14,19,Mika SaloSAL,Tyrrell Yamaha,1:23.118,11
15,14,Johnny HerbertHER,Sauber Ford,1:23.201,12
16,21,Giancarlo FisichellaFIS,Minardi Ford,1:23.519,11
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.599,12
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:23.959,11
19,20,Pedro LamyLAM,Minardi Ford,1:24.262,12
20,22,Luca BadoerBAD,Forti Ford,1:25.012,7
21,16,Ricardo RossetROS,Footwork Hart,1:25.193,12
22,23,Andrea MonterminiMON,Forti Ford,1:26.109,4
