Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:24.204,12
2,6,Jacques VilleneuveVIL,Williams Renault,1:24.521,11
3,1,Michael SchumacherMSC,Ferrari,1:24.781,9
4,7,Mika HakkinenHAK,McLaren Mercedes,1:24.939,11
5,8,David CoulthardCOU,McLaren Mercedes,1:24.976,11
6,3,Jean AlesiALE,Benetton Renault,1:25.201,11
7,2,Eddie IrvineIRV,Ferrari,1:25.226,12
8,4,Gerhard BergerBER,Benetton Renault,1:25.470,12
9,12,Martin BrundleBRU,Jordan Peugeot,1:26.037,12
10,11,Rubens BarrichelloBAR,Jordan Peugeot,1:26.194,12
11,9,Olivier PanisPAN,Ligier Mugen Honda,1:26.206,9
12,14,Johnny HerbertHER,Sauber Ford,1:26.345,12
13,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:26.505,9
14,10,Pedro DinizDIN,Ligier Mugen Honda,1:26.726,11
15,17,Jos VerstappenVER,Footwork Hart,1:27.270,9
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:28.234,12
17,19,Mika SaloSAL,Tyrrell Yamaha,1:28.472,7
18,20,Pedro LamyLAM,Minardi Ford,1:28.933,12
19,16,Ricardo RossetROS,Footwork Hart,1:29.181,7
20,21,Giovanni LavaggiLAV,Minardi Ford,1:29.833,12
