Pos,No,Driver,Car,Time,Laps
1,6,Jacques VilleneuveVIL,Williams Renault,1:50.574,11
2,5,Damon HillHIL,Williams Renault,1:50.980,10
3,1,Michael SchumacherMSC,Ferrari,1:51.778,10
4,8,David CoulthardCOU,McLaren Mercedes,1:51.884,7
5,4,Gerhard BergerBER,Benetton Renault,1:51.960,11
6,7,Mika HakkinenHAK,McLaren Mercedes,1:52.318,8
7,3,Jean AlesiALE,Benetton Renault,1:52.354,7
8,12,Martin BrundleBRU,Jordan Peugeot,1:52.977,12
9,2,Eddie IrvineIRV,Ferrari,1:53.043,10
10,11,Rubens BarrichelloBAR,Jordan Peugeot,1:53.152,9
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:53.199,9
12,14,Johnny HerbertHER,Sauber Ford,1:53.993,8
13,19,Mika SaloSAL,Tyrrell Yamaha,1:54.095,12
14,9,Olivier PanisPAN,Ligier Mugen Honda,1:54.220,7
15,10,Pedro DinizDIN,Ligier Mugen Honda,1:54.700,12
16,17,Jos VerstappenVER,Footwork Hart,1:55.150,8
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:55.371,8
18,16,Ricardo RossetROS,Footwork Hart,1:56.286,8
19,20,Pedro LamyLAM,Minardi Ford,1:56.830,8
20,21,Giovanni LavaggiLAV,Minardi Ford,1:58.579,7
