Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:20.650,11
2,6,Jacques VilleneuveVIL,Williams Renault,1:21.084,12
3,1,Michael SchumacherMSC,Ferrari,1:21.587,11
4,3,Jean AlesiALE,Benetton Renault,1:22.061,8
5,4,Gerhard BergerBER,Benetton Renault,1:22.125,12
6,2,Eddie IrvineIRV,Ferrari,1:22.333,11
7,11,Rubens BarrichelloBAR,Jordan Peugeot,1:22.379,12
8,9,Olivier PanisPAN,Ligier Mugen Honda,1:22.685,11
9,14,Johnny HerbertHER,Sauber Ford,1:23.027,11
10,7,Mika HakkinenHAK,McLaren Mercedes,1:23.070,12
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:23.195,11
12,19,Mika SaloSAL,Tyrrell Yamaha,1:23.224,12
13,17,Jos VerstappenVER,Footwork Hart,1:23.371,12
14,8,David CoulthardCOU,McLaren Mercedes,1:23.416,12
15,12,Martin BrundleBRU,Jordan Peugeot,1:23.438,12
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.401,10
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:24.468,12
18,20,Pedro LamyLAM,Minardi Ford,1:25.274,12
19,21,Giancarlo FisichellaFIS,Minardi Ford,1:25.531,12
20,16,Ricardo RossetROS,Footwork Hart,1:25.621,12
21,22,Luca BadoerBAD,Forti Ford,1:26.615,12
22,23,Andrea MonterminiMON,Forti Ford,1:27.358,12
