Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:26.890,11
2,5,Damon HillHIL,Williams Renault,1:27.105,11
3,6,Jacques VilleneuveVIL,Williams Renault,1:27.220,12
4,8,David CoulthardCOU,McLaren Mercedes,1:27.688,11
5,3,Jean AlesiALE,Benetton Renault,1:28.009,10
6,2,Eddie IrvineIRV,Ferrari,1:28.205,12
7,4,Gerhard BergerBER,Benetton Renault,1:28.336,12
8,19,Mika SaloSAL,Tyrrell Yamaha,1:28.423,12
9,11,Rubens BarrichelloBAR,Jordan Peugeot,1:28.632,12
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:28.785,12
11,7,Mika HakkinenHAK,McLaren Mercedes,1:29.079,12
12,12,Martin BrundleBRU,Jordan Peugeot,1:29.099,12
13,9,Olivier PanisPAN,Ligier Mugen Honda,1:29.472,11
14,17,Jos VerstappenVER,Footwork Hart,1:29.539,12
15,14,Johnny HerbertHER,Sauber Ford,1:29.541,12
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:29.892,11
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:29.989,12
18,20,Pedro LamyLAM,Minardi Ford,1:30.471,11
19,21,Giancarlo FisichellaFIS,Minardi Ford,1:30.814,12
20,16,Ricardo RossetROS,Footwork Hart,1:31.316,10
21,22,Luca BadoerBAD,Forti Ford,1:32.037,12
22,23,Andrea MonterminiMON,Forti Ford,1:33.685,9
