Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:43.912,12
2,4,Gerhard BergerBER,Benetton Renault,1:44.299,11
3,1,Michael SchumacherMSC,Ferrari,1:44.477,11
4,7,Mika HakkinenHAK,McLaren Mercedes,1:44.644,11
5,3,Jean AlesiALE,Benetton Renault,1:44.670,10
6,6,Jacques VilleneuveVIL,Williams Renault,1:44.842,12
7,8,David CoulthardCOU,McLaren Mercedes,1:44.951,12
8,2,Eddie IrvineIRV,Ferrari,1:45.389,12
9,11,Rubens BarrichelloBAR,Jordan Peugeot,1:45.452,12
10,12,Martin BrundleBRU,Jordan Peugeot,1:45.876,12
11,10,Pedro DinizDIN,Ligier Mugen Honda,1:46.575,12
12,9,Olivier PanisPAN,Ligier Mugen Honda,1:46.746,11
13,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:46.899,11
14,14,Johnny HerbertHER,Sauber Ford,1:47.711,11
15,19,Mika SaloSAL,Tyrrell Yamaha,1:48.139,12
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:48.381,12
17,17,Jos VerstappenVER,Footwork Hart,1:48.512,12
18,20,Pedro LamyLAM,Minardi Ford,1:49.461,12
19,16,Ricardo RossetROS,Footwork Hart,1:49.551,12
20,21,Giovanni LavaggiLAV,Minardi Ford,1:51.357,12
