Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:10.567
2,4,Lando NorrisNOR,McLaren Mercedes,1:11.104
3,63,George RussellRUS,Mercedes,1:11.294
4,23,Alexander AlbonALB,Williams Mercedes,1:11.419
5,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:11.506
6,55,Carlos SainzSAI,Ferrari,1:11.754
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:11.880
8,81,Oscar PiastriPIA,McLaren Mercedes,1:11.938
9,16,Charles LeclercLEC,Ferrari,1:12.665
10,2,Logan SargeantSAR,Williams Mercedes,1:16.748
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:20.121
12,10,Pierre GaslyGAS,Alpine Renault,1:20.128
13,44,Lewis HamiltonHAM,Mercedes,1:20.151
14,27,Nico HulkenbergHUL,Haas Ferrari,1:20.250
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:22.067
16,31,Esteban OconOCO,Alpine Renault,1:22.110
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:20.230
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:22.260
19,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:23.420
