Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:32.726
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.104
3,63,George RussellRUS,Mercedes,1:33.112
4,10,Pierre GaslyGAS,Alpine Renault,1:33.239
5,23,Alexander AlbonALB,Williams Mercedes,1:33.323
6,2,Logan SargeantSAR,Williams Mercedes,1:33.513
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:33.525
8,20,Kevin MagnussenMAG,Haas Ferrari,1:33.537
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:33.555
10,44,Lewis HamiltonHAM,Mercedes,1:33.837
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:33.855
12,55,Carlos SainzSAI,Ferrari,1:32.770
13,27,Nico HulkenbergHUL,Haas Ferrari,1:33.979
14,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:34.308
15,4,Lando NorrisNOR,McLaren Mercedes,1:34.703
16,31,Esteban OconOCO,Alpine Renault,1:34.834
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:34.849
18,81,Oscar PiastriPIA,McLaren Mercedes,1:34.850
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.199
20,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:36.447
