Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:25.858
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:27.286
3,44,Lewis HamiltonHAM,Mercedes,1:27.627
4,63,George RussellRUS,Mercedes,1:27.893
5,27,Nico HulkenbergHUL,Haas Ferrari,1:27.102
6,31,Esteban OconOCO,Alpine Renault,1:27.945
7,4,Lando NorrisNOR,McLaren Mercedes,1:28.046
8,81,Oscar PiastriPIA,McLaren Mercedes,1:31.349
9,23,Alexander AlbonALB,Williams Mercedes,
10,16,Charles LeclercLEC,Ferrari,1:20.615
11,55,Carlos SainzSAI,Ferrari,1:29.294
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:20.959
13,20,Kevin MagnussenMAG,Haas Ferrari,1:21.678
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:21.821
15,10,Pierre GaslyGAS,Alpine Renault,1:22.886
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:21.484
17,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:23.137
18,2,Logan SargeantSAR,Williams Mercedes,1:23.337
19,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:22.746
20,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:23.342
