Pos,No,Driver,Car,Time
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:26.841
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:27.202
3,55,Carlos SainzSAI,Ferrari,1:27.349
4,20,Kevin MagnussenMAG,Haas Ferrari,1:27.767
5,10,Pierre GaslyGAS,Alpine Renault,1:27.786
6,63,George RussellRUS,Mercedes,1:27.804
7,16,Charles LeclercLEC,Ferrari,1:27.861
8,31,Esteban OconOCO,Alpine Renault,1:27.935
9,1,Max VerstappenVER,Red Bull Racing Honda RBPT,
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,
11,23,Alexander AlbonALB,Williams Mercedes,1:27.795
12,27,Nico HulkenbergHUL,Haas Ferrari,1:27.903
13,44,Lewis HamiltonHAM,Mercedes,1:27.975
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:28.091
15,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:28.395
16,4,Lando NorrisNOR,McLaren Mercedes,1:28.394
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:28.429
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.476
19,81,Oscar PiastriPIA,McLaren Mercedes,1:28.484
20,2,Logan SargeantSAR,Williams Mercedes,1:28.577
