Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:40.203
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:40.391
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:40.495
4,55,Carlos SainzSAI,Ferrari,1:41.016
5,44,Lewis HamiltonHAM,Mercedes,1:41.177
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:41.253
7,4,Lando NorrisNOR,McLaren Mercedes,1:41.281
8,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:41.581
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:41.611
10,81,Oscar PiastriPIA,McLaren Mercedes,1:41.611
11,63,George RussellRUS,Mercedes,1:41.654
12,23,Alexander AlbonALB,Williams Mercedes,1:41.818
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:42.259
14,2,Logan SargeantSAR,Williams Mercedes,1:42.395
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:42.642
16,20,Kevin MagnussenMAG,Haas Ferrari,1:43.417
17,10,Pierre GaslyGAS,Alpine Renault,1:44.853
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:55.282
19,31,Esteban OconOCO,Alpine Renault,1:41.798
20,27,Nico HulkenbergHUL,Haas Ferrari,1:42.755
