Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:23.778
2,63,George RussellRUS,Mercedes,1:24.219
3,44,Lewis HamiltonHAM,Mercedes,1:24.305
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:24.369
5,16,Charles LeclercLEC,Ferrari,1:24.424
6,81,Oscar PiastriPIA,McLaren Mercedes,1:24.540
7,10,Pierre GaslyGAS,Alpine Renault,1:24.553
8,31,Esteban OconOCO,Alpine Renault,1:24.763
9,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:25.058
10,4,Lando NorrisNOR,McLaren Mercedes,
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:25.301
12,55,Carlos SainzSAI,Ferrari,1:25.328
13,23,Alexander AlbonALB,Williams Mercedes,1:25.707
14,27,Nico HulkenbergHUL,Haas Ferrari,1:25.783
15,2,Logan SargeantSAR,Williams Mercedes,1:26.210
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:26.345
17,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:26.635
18,20,Kevin MagnussenMAG,Haas Ferrari,1:27.046
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:27.432
20,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:25.462
