Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:16.609
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:16.612
3,4,Lando NorrisNOR,McLaren Mercedes,1:16.694
4,81,Oscar PiastriPIA,McLaren Mercedes,1:16.905
5,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:16.971
6,16,Charles LeclercLEC,Ferrari,1:16.992
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:17.034
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:17.035
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:17.045
10,27,Nico HulkenbergHUL,Haas Ferrari,1:17.186
11,55,Carlos SainzSAI,Ferrari,1:17.703
12,31,Esteban OconOCO,Alpine Renault,1:17.841
13,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:18.002
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:18.144
15,10,Pierre GaslyGAS,Alpine Renault,1:18.217
16,23,Alexander AlbonALB,Williams Mercedes,1:18.917
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:18.919
18,63,George RussellRUS,Mercedes,1:19.027
19,20,Kevin MagnussenMAG,Haas Ferrari,1:19.206
20,2,Logan SargeantSAR,Williams Mercedes,1:19.248
