Pos,No,Driver,Car,Time
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:04.391
2,16,Charles LeclercLEC,Ferrari,1:04.439
3,55,Carlos SainzSAI,Ferrari,1:04.581
4,4,Lando NorrisNOR,McLaren Mercedes,1:04.658
5,44,Lewis HamiltonHAM,Mercedes,1:04.819
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:04.893
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:04.911
8,27,Nico HulkenbergHUL,Haas Ferrari,1:05.090
9,10,Pierre GaslyGAS,Alpine Renault,1:05.170
10,23,Alexander AlbonALB,Williams Mercedes,1:05.823
11,63,George RussellRUS,Mercedes,1:05.428
12,31,Esteban OconOCO,Alpine Renault,1:05.453
13,81,Oscar PiastriPIA,McLaren Mercedes,1:05.605
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:05.680
15,11,Sergio PerezPER,Red Bull Racing Honda RBPT,2:06.688
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:05.784
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:05.818
18,2,Logan SargeantSAR,Williams Mercedes,1:05.948
19,20,Kevin MagnussenMAG,Haas Ferrari,1:05.971
20,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:05.974
