Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,6,Juan Pablo MontoyaMOY,Williams BMW,1,14:04:41,49.018,49.018
1,9,Giancarlo FisichellaFIS,Jordan Honda,1,14:04:44,59.077,59.077
1,25,Allan McNishMCN,Toyota,1,14:04:48,1:05.231,1:05.231
1,21,Enrique BernoldiBER,Arrows Cosworth,12,14:19:45,9:33.508,9:33.508
1,22,Alex YoongYOO,Minardi Asiatech,23,14:34:14,39.135,39.135
1,11,Jacques VilleneuveVIL,BAR Honda,24,14:34:57,43.694,43.694
2,25,Allan McNishMCN,Toyota,24,14:36:04,38.082,1:43.313
1,8,Felipe MassaMAS,Sauber Petronas,25,14:36:23,38.465,38.465
1,10,Takuma SatoSAT,Jordan Honda,27,14:38:59,39.446,39.446
1,23,Mark WebberWEB,Minardi Asiatech,33,14:47:06,39.768,39.768
1,24,Mika SaloSAL,Toyota,38,14:53:09,44.237,44.237
1,1,Michael SchumacherMSC,Ferrari,39,14:53:14,39.875,39.875
1,7,Nick HeidfeldHEI,Sauber Petronas,41,14:57:04,37.803,37.803
2,6,Juan Pablo MontoyaMOY,Williams BMW,42,14:58:19,37.495,1:26.513
1,17,Pedro de la RosaDLR,Jaguar Cosworth,42,14:58:39,39.054,39.054
1,14,Jarno TrulliTRU,Renault,43,14:59:18,38.540,38.540
1,5,Ralf SchumacherRSC,Williams BMW,44,14:59:45,37.183,37.183
2,23,Mark WebberWEB,Minardi Asiatech,42,14:59:48,1:07.977,1:47.745
1,15,Jenson ButtonBUT,Renault,44,15:00:40,36.982,36.982
1,16,Eddie IrvineIRV,Jaguar Cosworth,44,15:01:16,36.731,36.731
1,3,David CoulthardCOU,McLaren Mercedes,45,15:01:51,37.619,37.619
1,4,Kimi RäikkönenRAI,McLaren Mercedes,46,15:03:10,37.004,37.004
2,11,Jacques VilleneuveVIL,BAR Honda,46,15:04:08,37.303,1:20.997
2,22,Alex YoongYOO,Minardi Asiatech,45,15:04:45,37.735,1:16.870
2,10,Takuma SatoSAT,Jordan Honda,48,15:06:50,41.482,1:20.928
2,7,Nick HeidfeldHEI,Sauber Petronas,56,15:17:16,37.459,1:15.262
3,23,Mark WebberWEB,Minardi Asiatech,63,15:28:36,33.866,2:21.611
