Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,12,Olivier PanisPAN,BAR Honda,6,14:44:14,56.848,56.848
2,12,Olivier PanisPAN,BAR Honda,7,14:47:19,6:23.085,7:19.933
1,14,Jarno TrulliTRU,Renault,15,14:58:28,28.687,28.687
1,15,Jenson ButtonBUT,Renault,16,15:00:08,29.270,29.270
1,24,Mika SaloSAL,Toyota,18,15:03:33,29.912,29.912
1,7,Nick HeidfeldHEI,Sauber Petronas,19,15:05:08,30.713,30.713
1,11,Jacques VilleneuveVIL,BAR Honda,19,15:05:12,29.868,29.868
1,1,Michael SchumacherMSC,Ferrari,20,15:05:46,30.576,30.576
1,9,Giancarlo FisichellaFIS,Jordan Honda,20,15:06:49,30.856,30.856
1,2,Rubens BarrichelloBAR,Ferrari,21,15:07:30,30.594,30.594
1,10,Takuma SatoSAT,Jordan Honda,21,15:08:22,28.925,28.925
1,17,Pedro de la RosaDLR,Jaguar Cosworth,21,15:08:43,29.885,29.885
1,4,Kimi RäikkönenRAI,McLaren Mercedes,22,15:09:29,30.853,30.853
1,16,Eddie IrvineIRV,Jaguar Cosworth,22,15:10:20,29.171,29.171
1,23,Mark WebberWEB,Minardi Asiatech,22,15:10:47,30.523,30.523
1,5,Ralf SchumacherRSC,Williams BMW,24,15:12:43,29.748,29.748
1,6,Juan Pablo MontoyaMOY,Williams BMW,25,15:14:33,29.197,29.197
2,15,Jenson ButtonBUT,Renault,32,15:26:47,32.430,1:01.700
2,24,Mika SaloSAL,Toyota,34,15:30:20,30.270,1:00.182
2,7,Nick HeidfeldHEI,Sauber Petronas,35,15:31:54,31.161,1:01.874
2,9,Giancarlo FisichellaFIS,Jordan Honda,35,15:32:00,29.896,1:00.752
2,10,Takuma SatoSAT,Jordan Honda,36,15:33:23,31.196,1:00.121
2,2,Rubens BarrichelloBAR,Ferrari,37,15:33:50,29.585,1:00.179
2,1,Michael SchumacherMSC,Ferrari,38,15:35:17,29.534,1:00.110
2,17,Pedro de la RosaDLR,Jaguar Cosworth,37,15:35:40,28.667,58.552
2,16,Eddie IrvineIRV,Jaguar Cosworth,38,15:37:14,28.580,57.751
2,5,Ralf SchumacherRSC,Williams BMW,39,15:37:26,27.910,57.658
2,6,Juan Pablo MontoyaMOY,Williams BMW,40,15:39:19,28.381,57.578
2,23,Mark WebberWEB,Minardi Asiatech,39,15:40:00,29.060,59.583
2,4,Kimi RäikkönenRAI,McLaren Mercedes,41,15:40:50,28.256,59.109
