POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:41.331,1:41.255,1:41.117,23
2,55,Carlos SainzSAI,Williams,1:42.635,1:41.675,1:41.595,23
3,30,Liam LawsonLAW,Racing Bulls,1:42.257,1:41.537,1:41.707,26
4,12,Kimi AntonelliANT,Mercedes,1:42.247,1:41.464,1:41.717,21
5,63,George RussellRUS,Mercedes,1:41.646,1:41.455,1:42.070,22
6,22,Yuki TsunodaTSU,Red Bull Racing,1:42.347,1:41.788,1:42.143,23
7,4,Lando NorrisNOR,McLaren,1:41.322,1:41.396,1:42.239,21
8,6,Isack HadjarHAD,Racing Bulls,1:41.656,1:41.647,1:42.372,25
9,81,Oscar PiastriPIA,McLaren,1:41.839,1:41.414,DNF,18
10,16,Charles LeclercLEC,Ferrari,1:41.458,1:41.519,DNF,19
11,14,Fernando AlonsoALO,Aston Martin,1:42.211,1:41.857,,18
12,44,Lewis HamiltonHAM,Ferrari,1:41.821,1:42.183,,17
13,5,Gabriel BortoletoBOR,Kick Sauber,1:42.511,1:42.277,,16
14,18,Lance StrollSTR,Aston Martin,1:42.101,1:43.061,,16
15,87,Oliver BearmanBEA,Haas,1:42.666,DNF,,11
16,43,Franco ColapintoCOL,Alpine,1:42.779,,,8
17,27,Nico HulkenbergHUL,Kick Sauber,1:42.916,,,8
18,10,Pierre GaslyGAS,Alpine,1:43.139,,,8
19,23,Alexander AlbonALB,Williams,1:43.778,,,4
DQ,31,Esteban OconOCO,Haas,,,,0
