POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:27.778,1:27.529,1:27.294,19
2,81,Oscar PiastriPIA,McLaren,1:27.901,1:27.545,1:27.304,18
3,63,George RussellRUS,Mercedes,1:28.282,1:27.599,1:27.407,16
4,16,Charles LeclercLEC,Ferrari,1:28.552,1:27.866,1:27.670,19
5,12,Kimi AntonelliANT,Mercedes,1:28.128,1:27.798,1:27.866,17
6,55,Carlos SainzSAI,Williams,1:28.354,1:28.024,1:28.164,23
7,44,Lewis HamiltonHAM,Ferrari,1:28.372,1:28.102,1:28.201,20
8,22,Yuki TsunodaTSU,Red Bull Racing,1:28.226,1:27.990,1:28.204,16
9,10,Pierre GaslyGAS,Alpine,1:28.421,1:28.025,1:28.367,22
10,4,Lando NorrisNOR,McLaren,1:27.805,1:27.481,DNF,11
11,23,Alexander AlbonALB,Williams,1:28.279,1:28.109,,14
12,30,Liam LawsonLAW,Racing Bulls,1:28.561,1:28.191,,11
13,14,Fernando AlonsoALO,Aston Martin,1:28.548,1:28.303,,14
14,6,Isack HadjarHAD,Racing Bulls,1:28.571,1:28.418,,12
15,87,Oliver BearmanBEA,Haas,1:28.536,1:28.648,,15
16,18,Lance StrollSTR,Aston Martin,1:28.645,,,9
17,7,Jack DoohanDOO,Alpine,1:28.739,,,9
18,27,Nico HulkenbergHUL,Kick Sauber,1:28.782,,,8
19,31,Esteban OconOCO,Haas,1:29.092,,,9
20,5,Gabriel BortoletoBOR,Kick Sauber,1:29.462,,,8
