POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:26.870,1:26.643,1:26.204,18
2,4,Lando NorrisNOR,McLaren,1:26.955,1:26.499,1:26.269,21
3,12,Kimi AntonelliANT,Mercedes,1:27.077,1:26.606,1:26.271,20
4,81,Oscar PiastriPIA,McLaren,1:27.006,1:26.269,1:26.375,16
5,63,George RussellRUS,Mercedes,1:27.014,1:26.575,1:26.385,20
6,55,Carlos SainzSAI,Williams,1:27.098,1:26.847,1:26.569,20
7,23,Alexander AlbonALB,Williams,1:27.042,1:26.855,1:26.682,20
8,16,Charles LeclercLEC,Ferrari,1:27.417,1:26.948,1:26.754,20
9,31,Esteban OconOCO,Haas,1:27.450,1:26.967,1:26.824,21
10,22,Yuki TsunodaTSU,Red Bull Racing,1:27.298,1:26.959,1:26.943,21
11,6,Isack HadjarHAD,Racing Bulls,1:27.301,1:26.987,,13
12,44,Lewis HamiltonHAM,Ferrari,1:27.279,1:27.006,,15
13,5,Gabriel BortoletoBOR,Kick Sauber,1:27.343,1:27.151,,15
14,7,Jack DoohanDOO,Alpine,1:27.422,1:27.186,,15
15,30,Liam LawsonLAW,Racing Bulls,1:27.444,1:27.363,,14
16,27,Nico HulkenbergHUL,Kick Sauber,1:27.473,,,9
17,14,Fernando AlonsoALO,Aston Martin,1:27.604,,,9
18,10,Pierre GaslyGAS,Alpine,1:27.710,,,9
19,18,Lance StrollSTR,Aston Martin,1:27.830,,,9
20,87,Oliver BearmanBEA,Haas,1:27.999,,,9
