POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:31.392,1:30.454,1:29.841,15
2,63,George RussellRUS,Mercedes,1:31.494,1:30.664,1:30.009,20
3,16,Charles LeclercLEC,Ferrari,1:31.454,1:30.724,1:30.175,16
4,12,Kimi AntonelliANT,Mercedes,1:31.415,1:30.716,1:30.213,20
5,10,Pierre GaslyGAS,Alpine,1:31.462,1:30.643,1:30.216,19
6,4,Lando NorrisNOR,McLaren,1:31.107,1:30.560,1:30.267,18
7,1,Max VerstappenVER,Red Bull Racing,1:31.303,1:31.019,1:30.423,17
8,55,Carlos SainzSAI,Williams,1:31.591,1:30.844,1:30.680,19
9,44,Lewis HamiltonHAM,Ferrari,1:31.219,1:31.009,1:30.772,18
10,22,Yuki TsunodaTSU,Red Bull Racing,1:31.751,1:31.228,1:31.303,17
11,7,Jack DoohanDOO,Alpine,1:31.414,1:31.245,,13
12,6,Isack HadjarHAD,Racing Bulls,1:31.591,1:31.271,,12
13,14,Fernando AlonsoALO,Aston Martin,1:31.634,1:31.886,,15
14,31,Esteban OconOCO,Haas,1:31.594,DNF,,8
15,23,Alexander AlbonALB,Williams,1:32.040,,,6
16,27,Nico HulkenbergHUL,Kick Sauber,1:32.067,,,17
17,30,Liam LawsonLAW,Racing Bulls,1:32.165,,,6
18,5,Gabriel BortoletoBOR,Kick Sauber,1:32.186,,,6
19,18,Lance StrollSTR,Aston Martin,1:32.283,,,9
20,87,Oliver BearmanBEA,Haas,1:32.373,,,6
