Pos.,No.,Driver,Team,Q1,Q2,Q3,Laps
1,63,George RussellRUS,Mercedes,1:29.928,1:29.562,1:29.158,18
2,1,Max VerstappenVER,Red Bull Racing,1:30.028,1:29.572,1:29.340,18
3,81,Oscar PiastriPIA,McLaren,1:30.313,1:29.813,1:29.524,20
4,12,Kimi AntonelliANT,Mercedes,1:30.036,1:29.649,1:29.537,17
5,4,Lando NorrisNOR,McLaren,1:29.932,1:29.809,1:29.586,20
6,44,Lewis HamiltonHAM,Ferrari,1:29.765,1:29.936,1:29.688,20
7,16,Charles LeclercLEC,Ferrari,1:30.370,1:29.914,1:29.784,22
8,6,Isack HadjarHAD,Racing Bulls,1:30.214,1:30.016,1:29.846,19
9,87,Oliver BearmanBEA,Haas F1 Team,1:30.420,1:30.076,1:29.868,17
10,14,Fernando AlonsoALO,Aston Martin,1:30.745,1:30.054,1:29.955,18
11,27,Nico HulkenbergHUL,Kick Sauber,1:30.715,1:30.141,,15
12,30,Liam LawsonLAW,Racing Bulls,1:30.681,1:30.320,,14
13,22,Yuki TsunodaTSU,Red Bull Racing,1:30.574,1:30.353,,12
14,5,Gabriel BortoletoBOR,Kick Sauber,1:30.820,,,8
15,18,Lance StrollSTR,Aston Martin,1:30.949,,,9
16,43,Franco ColapintoCOL,Alpine,1:30.982,,,9
17,31,Esteban OconOCO,Haas F1 Team,1:30.989,,,6
18,10,Pierre GaslyGAS,Alpine,1:31.261,,,8
DQ,23,Alexander AlbonALB,Williams,,1:30.202,,0
DQ,55,Carlos SainzSAI,Williams,,1:30.235,,0
