POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,4,Lando NorrisNOR,McLaren,1:41.010,1:40.715,1:40.562,20
2,81,Oscar PiastriPIA,McLaren,1:41.201,1:40.626,1:40.647,21
3,16,Charles LeclercLEC,Ferrari,1:41.635,1:41.084,1:40.900,18
4,1,Max VerstappenVER,Red Bull Racing,1:41.334,1:40.951,1:40.903,15
5,23,Alexander AlbonALB,Williams,1:41.772,1:41.505,1:41.201,20
6,63,George RussellRUS,Mercedes,1:41.784,1:41.254,1:41.260,18
7,22,Yuki TsunodaTSU,Red Bull Racing,1:41.840,1:41.245,1:41.284,17
8,6,Isack HadjarHAD,Racing Bulls,1:41.572,1:41.281,1:41.310,19
9,30,Liam LawsonLAW,Racing Bulls,1:41.748,1:41.297,1:41.328,20
10,5,Gabriel BortoletoBOR,Kick Sauber,1:41.908,1:41.336,1:42.387,18
11,31,Esteban OconOCO,Haas,1:41.884,1:41.525,,14
12,87,Oliver BearmanBEA,Haas,1:41.617,1:41.617,,13
13,10,Pierre GaslyGAS,Alpine,1:41.800,1:41.633,,14
14,27,Nico HulkenbergHUL,Kick Sauber,1:41.844,1:41.707,,14
15,55,Carlos SainzSAI,Williams,1:41.691,1:41.758,,13
16,44,Lewis HamiltonHAM,Ferrari,1:41.939,,,8
17,43,Franco ColapintoCOL,Alpine,1:42.022,,,8
18,12,Kimi AntonelliANT,Mercedes,1:42.139,,,6
19,14,Fernando AlonsoALO,Aston Martin,1:42.385,,,8
20,18,Lance StrollSTR,Aston Martin,1:42.502,,,8
