POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:09.338,1:08.964,1:08.662,18
2,4,Lando NorrisNOR,McLaren,1:09.469,1:08.874,1:08.674,18
3,1,Max VerstappenVER,Red Bull Racing,1:09.696,1:09.122,1:08.925,18
4,6,Isack HadjarHAD,Racing Bulls,1:09.966,1:09.439,1:09.208,18
5,63,George RussellRUS,Mercedes,1:09.676,1:09.313,1:09.255,18
6,16,Charles LeclercLEC,Ferrari,1:09.906,1:09.304,1:09.340,22
7,44,Lewis HamiltonHAM,Ferrari,1:09.900,1:09.261,1:09.390,21
8,30,Liam LawsonLAW,Racing Bulls,1:09.779,1:09.383,1:09.500,18
9,55,Carlos SainzSAI,Williams,1:09.980,1:09.472,1:09.505,18
10,14,Fernando AlonsoALO,Aston Martin,1:09.950,1:09.366,1:09.630,17
11,12,Kimi AntonelliANT,Mercedes,1:09.845,1:09.493,,12
12,22,Yuki TsunodaTSU,Red Bull Racing,1:09.954,1:09.622,,15
13,5,Gabriel BortoletoBOR,Kick Sauber,1:10.037,1:09.622,,12
14,10,Pierre GaslyGAS,Alpine,1:09.894,1:09.637,,15
15,23,Alexander AlbonALB,Williams,1:09.792,1:09.652,,12
16,43,Franco ColapintoCOL,Alpine,1:10.104,,,9
17,27,Nico HulkenbergHUL,Kick Sauber,1:10.195,,,9
18,31,Esteban OconOCO,Haas,1:10.197,,,9
19,87,Oliver BearmanBEA,Haas,1:10.262,,,9
NC,18,Lance StrollSTR,Aston Martin,DNF,,,2
