POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,4,Lando NorrisNOR,McLaren,1:04.672,1:04.410,1:03.971,18
2,16,Charles LeclercLEC,Ferrari,1:05.197,1:04.734,1:04.492,21
3,81,Oscar PiastriPIA,McLaren,1:04.966,1:04.556,1:04.554,19
4,44,Lewis HamiltonHAM,Ferrari,1:05.115,1:04.896,1:04.582,21
5,63,George RussellRUS,Mercedes,1:05.189,1:04.860,1:04.763,18
6,30,Liam LawsonLAW,Racing Bulls,1:05.017,1:05.041,1:04.926,17
7,1,Max VerstappenVER,Red Bull Racing,1:05.106,1:04.836,1:04.929,18
8,5,Gabriel BortoletoBOR,Kick Sauber,1:05.123,1:04.846,1:05.132,21
9,12,Kimi AntonelliANT,Mercedes,1:05.178,1:05.052,1:05.276,17
10,10,Pierre GaslyGAS,Alpine,1:05.054,1:04.846,1:05.649,21
11,14,Fernando AlonsoALO,Aston Martin,1:05.197,1:05.128,,14
12,23,Alexander AlbonALB,Williams,1:05.143,1:05.205,,18
13,6,Isack HadjarHAD,Racing Bulls,1:05.063,1:05.226,,12
14,43,Franco ColapintoCOL,Alpine,1:05.278,1:05.288,,15
15,87,Oliver BearmanBEA,Haas,1:05.218,1:05.312,,15
16,18,Lance StrollSTR,Aston Martin,1:05.329,,,9
17,31,Esteban OconOCO,Haas,1:05.364,,,9
18,22,Yuki TsunodaTSU,Red Bull Racing,1:05.369,,,6
19,55,Carlos SainzSAI,Williams,1:05.582,,,12
20,27,Nico HulkenbergHUL,Kick Sauber,1:05.606,,,9
