POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:12.551,1:11.998,1:11.546,14
2,4,Lando NorrisNOR,McLaren,1:12.799,1:12.056,1:11.755,15
3,1,Max VerstappenVER,Red Bull Racing,1:12.798,1:12.358,1:11.848,12
4,63,George RussellRUS,Mercedes,1:12.806,1:12.407,1:11.848,12
5,44,Lewis HamiltonHAM,Ferrari,1:13.058,1:12.447,1:12.045,15
6,12,Kimi AntonelliANT,Mercedes,1:12.815,1:12.585,1:12.111,18
7,16,Charles LeclercLEC,Ferrari,1:13.014,1:12.495,1:12.131,12
8,10,Pierre GaslyGAS,Alpine,1:13.081,1:12.611,1:12.199,18
9,6,Isack HadjarHAD,Racing Bulls,1:13.139,1:12.461,1:12.252,15
10,14,Fernando AlonsoALO,Aston Martin,1:13.102,1:12.523,1:12.284,14
11,23,Alexander AlbonALB,Williams,1:13.044,1:12.641,,14
12,5,Gabriel BortoletoBOR,Kick Sauber,1:13.045,1:12.756,,12
13,30,Liam LawsonLAW,Racing Bulls,1:13.039,1:12.763,,12
14,18,Lance StrollSTR,Aston Martin,1:13.038,1:13.058,,15
15,87,Oliver BearmanBEA,Haas,1:13.074,1:13.315,,15
16,27,Nico HulkenbergHUL,Kick Sauber,1:13.190,,,6
17,31,Esteban OconOCO,Haas,1:13.201,,,9
18,55,Carlos SainzSAI,Williams,1:13.203,,,6
19,43,Franco ColapintoCOL,Alpine,1:13.334,,,7
20,22,Yuki TsunodaTSU,Red Bull Racing,1:13.385,,,6
