POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:25.886,1:25.316,1:24.892,18
2,81,Oscar PiastriPIA,McLaren,1:25.963,1:25.316,1:24.995,21
3,4,Lando NorrisNOR,McLaren,1:26.123,1:25.231,1:25.010,20
4,63,George RussellRUS,Mercedes,1:26.236,1:25.637,1:25.029,19
5,44,Lewis HamiltonHAM,Ferrari,1:26.296,1:25.084,1:25.095,19
6,16,Charles LeclercLEC,Ferrari,1:26.186,1:25.133,1:25.121,21
7,12,Kimi AntonelliANT,Mercedes,1:26.265,1:25.620,1:25.374,18
8,87,Oliver BearmanBEA,Haas,1:26.005,1:25.534,1:25.471,18
9,14,Fernando AlonsoALO,Aston Martin,1:26.108,1:25.593,1:25.621,15
10,10,Pierre GaslyGAS,Alpine,1:26.328,1:25.711,1:25.785,21
11,55,Carlos SainzSAI,Williams,1:26.175,1:25.746,,12
12,22,Yuki TsunodaTSU,Red Bull Racing,1:26.275,1:25.826,,13
13,6,Isack HadjarHAD,Racing Bulls,1:26.177,1:25.864,,12
14,23,Alexander AlbonALB,Williams,1:26.093,1:25.889,,13
15,31,Esteban OconOCO,Haas,1:26.136,1:25.950,,12
16,30,Liam LawsonLAW,Racing Bulls,1:26.440,,,6
17,5,Gabriel BortoletoBOR,Kick Sauber,1:26.446,,,9
18,18,Lance StrollSTR,Aston Martin,1:26.504,,,9
19,27,Nico HulkenbergHUL,Kick Sauber,1:26.574,,,9
20,43,Franco ColapintoCOL,Alpine,1:27.060,,,6
