POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:19.455,1:19.140,1:18.792,18
2,4,Lando NorrisNOR,McLaren,1:19.517,1:19.293,1:18.869,21
3,81,Oscar PiastriPIA,McLaren,1:19.711,1:19.286,1:18.982,19
4,16,Charles LeclercLEC,Ferrari,1:19.689,1:19.310,1:19.007,20
5,44,Lewis HamiltonHAM,Ferrari,1:19.765,1:19.371,1:19.124,20
6,63,George RussellRUS,Mercedes,1:19.414,1:19.287,1:19.157,18
7,12,Kimi AntonelliANT,Mercedes,1:19.747,1:19.245,1:19.200,22
8,5,Gabriel BortoletoBOR,Kick Sauber,1:19.688,1:19.323,1:19.390,21
9,14,Fernando AlonsoALO,Aston Martin,1:19.658,1:19.362,1:19.424,20
10,22,Yuki TsunodaTSU,Red Bull Racing,1:19.619,1:19.433,1:19.519,18
11,87,Oliver BearmanBEA,Haas,1:19.688,1:19.446,,15
12,27,Nico HulkenbergHUL,Kick Sauber,1:19.777,1:19.498,,15
13,55,Carlos SainzSAI,Williams,1:19.644,1:19.528,,19
14,23,Alexander AlbonALB,Williams,1:19.837,1:19.583,,16
15,31,Esteban OconOCO,Haas,1:19.816,1:19.707,,15
16,6,Isack HadjarHAD,Racing Bulls,1:19.917,,,6
17,18,Lance StrollSTR,Aston Martin,1:19.948,,,9
18,43,Franco ColapintoCOL,Alpine,1:19.992,,,9
19,10,Pierre GaslyGAS,Alpine,1:20.103,,,9
20,30,Liam LawsonLAW,Racing Bulls,1:20.279,,,5
