POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,16,Charles LeclercLEC,Ferrari,1:15.582,1:15.455,1:15.372,18
2,81,Oscar PiastriPIA,McLaren,1:15.211,1:14.941,1:15.398,18
3,4,Lando NorrisNOR,McLaren,1:15.523,1:14.890,1:15.413,18
4,63,George RussellRUS,Mercedes,1:15.627,1:15.201,1:15.425,15
5,14,Fernando AlonsoALO,Aston Martin,1:15.281,1:15.395,1:15.481,15
6,18,Lance StrollSTR,Aston Martin,1:15.673,1:15.129,1:15.498,18
7,5,Gabriel BortoletoBOR,Kick Sauber,1:15.586,1:15.687,1:15.725,18
8,1,Max VerstappenVER,Red Bull Racing,1:15.736,1:15.547,1:15.728,18
9,30,Liam LawsonLAW,Racing Bulls,1:15.849,1:15.630,1:15.821,18
10,6,Isack HadjarHAD,Racing Bulls,1:15.516,1:15.469,1:15.915,15
11,87,Oliver BearmanBEA,Haas,1:15.750,1:15.694,,12
12,44,Lewis HamiltonHAM,Ferrari,1:15.733,1:15.702,,12
13,55,Carlos SainzSAI,Williams,1:15.652,1:15.781,,15
14,43,Franco ColapintoCOL,Alpine,1:15.875,1:16.159,,12
15,12,Kimi AntonelliANT,Mercedes,1:15.782,1:16.386,,9
16,22,Yuki TsunodaTSU,Red Bull Racing,1:15.899,,,6
17,10,Pierre GaslyGAS,Alpine,1:15.966,,,6
18,31,Esteban OconOCO,Haas,1:16.023,,,6
19,27,Nico HulkenbergHUL,Kick Sauber,1:16.081,,,6
20,23,Alexander AlbonALB,Williams,1:16.223,,,9
