POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:31.591,1:31.200,1:30.641,20
2,63,George RussellRUS,Mercedes,1:31.295,1:31.307,1:30.723,22
3,4,Lando NorrisNOR,McLaren,1:30.983,1:30.787,1:30.793,17
4,1,Max VerstappenVER,Red Bull Racing,1:31.424,1:31.142,1:30.817,15
5,44,Lewis HamiltonHAM,Ferrari,1:31.690,1:31.501,1:30.927,21
6,16,Charles LeclercLEC,Ferrari,1:31.579,1:31.450,1:31.021,21
7,6,Isack HadjarHAD,Racing Bulls,1:31.162,1:31.253,1:31.079,20
8,12,Kimi AntonelliANT,Mercedes,1:31.676,1:31.590,1:31.103,22
9,22,Yuki TsunodaTSU,Racing Bulls,1:31.238,1:31.260,1:31.638,19
10,23,Alexander AlbonALB,Williams,1:31.503,1:31.595,1:31.706,20
11,31,Esteban OconOCO,Haas,1:31.876,1:31.625,,15
12,27,Nico HulkenbergHUL,Kick Sauber,1:31.921,1:31.632,,15
13,14,Fernando AlonsoALO,Aston Martin,1:31.719,1:31.688,,15
14,18,Lance StrollSTR,Aston Martin,1:31.923,1:31.773,,15
15,55,Carlos SainzSAI,Williams,1:31.628,1:31.840,,15
16,10,Pierre GaslyGAS,Alpine,1:31.992,,,9
17,87,Oliver BearmanBEA,Haas,1:32.018,,,8
18,7,Jack DoohanDOO,Alpine,1:32.092,,,8
19,5,Gabriel BortoletoBOR,Kick Sauber,1:32.141,,,9
20,30,Liam LawsonLAW,Red Bull Racing,1:32.174,,,8
