Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,McLaren Honda,1:20.094,
2,27,Ayrton SennaSEN,McLaren Honda,1:20.576,+0.482s
3,1,Alain ProstPRO,Ferrari,1:20.580,+0.486s
4,4,Jean AlesiALE,Tyrrell Ford,1:20.813,+0.719s
5,30,Aguri SuzukiSUZ,Lola Lamborghini,1:21.448,+1.354s
6,20,Nelson PiquetPIQ,Benetton Ford,1:21.658,+1.564s
7,6,Riccardo PatresePAT,Williams Renault,1:21.722,+1.628s
8,2,Nigel MansellMAN,Ferrari,1:21.848,+1.754s
9,5,Thierry BoutsenBOU,Williams Renault,1:21.989,+1.895s
10,12,Martin DonnellyDON,Lotus Lamborghini,1:22.373,+2.279s
11,11,Derek WarwickWAR,Lotus Lamborghini,1:22.494,+2.400s
12,19,Alessandro NanniniNAN,Benetton Ford,1:22.531,+2.437s
13,26,Philippe AlliotALL,Ligier Ford,1:22.604,+2.510s
14,8,Stefano ModenaMOD,Brabham Judd,1:22.868,+2.774s
15,3,Satoru NakajimaNAK,Tyrrell Ford,1:22.944,+2.850s
16,23,Pierluigi MartiniMAR,Minardi Ford,1:23.360,+3.266s
17,29,Eric BernardBER,Lola Lamborghini,1:23.387,+3.293s
18,25,Nicola LariniLAR,Ligier Ford,1:23.708,+3.614s
19,24,Paolo BarillaBAR,Minardi Ford,1:23.754,+3.660s
20,16,Ivan CapelliCAP,Leyton House Judd,1:24.113,+4.019s
21,9,Michele AlboretoALB,Arrows Ford,1:24.135,+4.041s
22,17,Gabriele TarquiniTAR,AGS Ford,1:24.275,+4.181s
23,18,Yannick DalmasDAL,AGS Ford,1:24.470,+4.376s
24,22,Andrea de CesarisDEC,Dallara Ford,1:24.622,+4.528s
25,15,Mauricio GugelminGUG,Leyton House Judd,1:25.237,+5.143s
26,14,Olivier GrouillardGRO,Osella Ford,1:25.900,+5.806s
27,10,Bernd SchneiderSCH,Arrows Ford,1:25.985,+5.891s
28,31,Bertrand GachotGAC,Coloni Ford,1:27.346,+7.252s
29,21,Emanuele PirroPIR,Dallara Ford,1:28.609,+8.515s
30,7,David BrabhamBRA,Brabham Judd,1:29.055,+8.961s
