Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,McLaren Honda,1:40.384,
2,2,Nigel MansellMAN,Ferrari,1:41.195,+0.811s
3,5,Thierry BoutsenBOU,Williams Renault,1:41.309,+0.925s
4,1,Alain ProstPRO,Ferrari,1:41.907,+1.523s
5,30,Aguri SuzukiSUZ,Lola Lamborghini,1:42.080,+1.696s
6,6,Riccardo PatresePAT,Williams Renault,1:42.088,+1.704s
7,27,Ayrton SennaSEN,McLaren Honda,1:42.846,+2.462s
8,3,Satoru NakajimaNAK,Tyrrell Ford,1:42.984,+2.600s
9,20,Nelson PiquetPIQ,Benetton Ford,1:42.997,+2.613s
10,10,Alex CaffiCAF,Arrows Ford,1:43.295,+2.911s
11,24,Gianni MorbidelliMOR,Minardi Ford,1:43.527,+3.143s
12,23,Pierluigi MartiniMAR,Minardi Ford,1:43.575,+3.191s
13,4,Jean AlesiALE,Tyrrell Ford,1:43.846,+3.462s
14,19,Roberto MorenoMOR,Benetton Ford,1:43.882,+3.498s
15,11,Derek WarwickWAR,Lotus Lamborghini,1:43.928,+3.544s
16,29,Eric BernardBER,Lola Lamborghini,1:44.481,+4.097s
17,22,Andrea de CesarisDEC,Dallara Ford,1:44.570,+4.186s
18,9,Michele AlboretoALB,Arrows Ford,1:44.832,+4.448s
19,16,Ivan CapelliCAP,Leyton House Judd,1:44.921,+4.537s
20,15,Mauricio GugelminGUG,Leyton House Judd,1:45.326,+4.942s
21,18,Yannick DalmasDAL,AGS Ford,1:45.814,+5.430s
22,21,Emanuele PirroPIR,Dallara Ford,1:45.895,+5.511s
23,8,Stefano ModenaMOD,Brabham Judd,1:46.006,+5.622s
24,14,Olivier GrouillardGRO,Osella Ford,1:46.022,+5.638s
25,12,Johnny HerbertHER,Lotus Lamborghini,1:46.569,+6.185s
26,26,Philippe AlliotALL,Ligier Ford,1:47.006,+6.622s
27,25,Nicola LariniLAR,Ligier Ford,1:47.101,+6.717s
28,17,Gabriele TarquiniTAR,AGS Ford,1:48.357,+7.973s
29,7,David BrabhamBRA,Brabham Judd,1:49.029,+8.645s
30,31,Bertrand GachotGAC,Coloni Ford,1:49.922,+9.538s
