Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,McLaren Honda,1:08.582,
2,6,Riccardo PatresePAT,Williams Renault,1:08.769,+0.187s
3,2,Nigel MansellMAN,Ferrari,1:09.012,+0.430s
4,27,Ayrton SennaSEN,McLaren Honda,1:09.095,+0.513s
5,4,Jean AlesiALE,Tyrrell Ford,1:09.532,+0.950s
6,5,Thierry BoutsenBOU,Williams Renault,1:09.637,+1.055s
7,20,Nelson PiquetPIQ,Benetton Ford,1:09.761,+1.179s
8,3,Satoru NakajimaNAK,Tyrrell Ford,1:09.906,+1.324s
9,19,Alessandro NanniniNAN,Benetton Ford,1:09.931,+1.349s
10,1,Alain ProstPRO,Ferrari,1:10.076,+1.494s
11,30,Aguri SuzukiSUZ,Lola Lamborghini,1:10.219,+1.637s
12,11,Derek WarwickWAR,Lotus Lamborghini,1:10.718,+2.136s
13,29,Eric BernardBER,Lola Lamborghini,1:11.083,+2.501s
14,10,Alex CaffiCAF,Arrows Ford,1:11.130,+2.548s
15,16,Ivan CapelliCAP,Leyton House Judd,1:11.403,+2.821s
16,12,Martin DonnellyDON,Lotus Lamborghini,1:11.459,+2.877s
17,9,Michele AlboretoALB,Arrows Ford,1:11.537,+2.955s
18,15,Mauricio GugelminGUG,Leyton House Judd,1:11.556,+2.974s
19,8,Stefano ModenaMOD,Brabham Judd,1:11.842,+3.260s
20,23,Pierluigi MartiniMAR,Minardi Ford,1:12.076,+3.494s
21,24,Paolo BarillaBAR,Minardi Ford,1:12.320,+3.738s
22,26,Philippe AlliotALL,Ligier Ford,1:12.443,+3.861s
23,22,Andrea de CesarisDEC,Dallara Ford,1:12.499,+3.917s
24,25,Nicola LariniLAR,Ligier Ford,1:12.527,+3.945s
25,21,Emanuele PirroPIR,Dallara Ford,1:12.644,+4.062s
26,36,Jyrki JarvilehtoJAR,Onyx Ford,1:12.818,+4.236s
27,7,David BrabhamBRA,Brabham Judd,1:12.819,+4.237s
28,17,Gabriele TarquiniTAR,AGS Ford,1:12.927,+4.345s
29,35,Gregor FoitekFOI,Onyx Ford,1:13.393,+4.811s
30,14,Olivier GrouillardGRO,Osella Ford,1:13.622,+5.040s
