Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,McLaren Honda,1:52.498,
2,2,Nigel MansellMAN,Ferrari,1:53.095,+0.597s
3,27,Ayrton SennaSEN,McLaren Honda,1:53.575,+1.077s
4,1,Alain ProstPRO,Ferrari,1:53.654,+1.156s
5,5,Thierry BoutsenBOU,Williams Renault,1:54.546,+2.048s
6,4,Jean AlesiALE,Tyrrell Ford,1:54.593,+2.095s
7,6,Riccardo PatresePAT,Williams Renault,1:54.638,+2.140s
8,20,Nelson PiquetPIQ,Benetton Ford,1:54.833,+2.335s
9,19,Alessandro NanniniNAN,Benetton Ford,1:55.061,+2.563s
10,15,Mauricio GugelminGUG,Leyton House Judd,1:55.530,+3.032s
11,30,Aguri SuzukiSUZ,Lola Lamborghini,1:55.882,+3.384s
12,23,Pierluigi MartiniMAR,Minardi Ford,1:56.215,+3.717s
13,3,Satoru NakajimaNAK,Tyrrell Ford,1:56.765,+4.267s
14,21,Emanuele PirroPIR,Dallara Ford,1:56.778,+4.280s
15,11,Derek WarwickWAR,Lotus Lamborghini,1:56.901,+4.403s
16,29,Eric BernardBER,Lola Lamborghini,1:56.977,+4.479s
17,9,Michele AlboretoALB,Arrows Ford,1:57.090,+4.592s
18,22,Andrea de CesarisDEC,Dallara Ford,1:57.696,+5.198s
19,26,Philippe AlliotALL,Ligier Ford,1:57.742,+5.244s
20,25,Nicola LariniLAR,Ligier Ford,1:57.791,+5.293s
21,16,Ivan CapelliCAP,Leyton House Judd,1:57.842,+5.344s
22,8,Stefano ModenaMOD,Brabham Judd,1:58.257,+5.759s
23,7,David BrabhamBRA,Brabham Judd,1:58.417,+5.919s
24,12,Martin DonnellyDON,Lotus Lamborghini,1:58.753,+6.255s
25,10,Alex CaffiCAF,Arrows Ford,1:59.021,+6.523s
26,18,Yannick DalmasDAL,AGS Ford,1:59.239,+6.741s
27,17,Gabriele TarquiniTAR,AGS Ford,1:59.440,+6.942s
28,14,Olivier GrouillardGRO,Osella Ford,1:59.590,+7.092s
29,24,Paolo BarillaBAR,Minardi Ford,2:00.410,+7.912s
