Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:15.713,
2,2,Nigel MansellMAN,Ferrari,1:16.626,+0.913s
3,28,Gerhard BergerBER,McLaren Honda,1:16.840,+1.127s
4,20,Nelson PiquetPIQ,Benetton Ford,1:17.233,+1.520s
5,1,Alain ProstPRO,Ferrari,1:17.660,+1.947s
6,6,Riccardo PatresePAT,Williams Renault,1:17.677,+1.964s
7,19,Roberto MorenoMOR,Benetton Ford,1:17.892,+2.179s
8,4,Jean AlesiALE,Tyrrell Ford,1:17.948,+2.235s
9,15,Mauricio GugelminGUG,Leyton House Judd,1:18.476,+2.763s
10,5,Thierry BoutsenBOU,Williams Renault,1:18.491,+2.778s
11,29,Eric BernardBER,Lola Lamborghini,1:18.672,+2.959s
12,30,Aguri SuzukiSUZ,Lola Lamborghini,1:18.877,+3.164s
13,22,Andrea de CesarisDEC,Dallara Ford,1:18.919,+3.206s
14,26,Philippe AlliotALL,Ligier Ford,1:18.970,+3.257s
15,8,Stefano ModenaMOD,Brabham Judd,1:18.984,+3.271s
16,25,Nicola LariniLAR,Ligier Ford,1:19.188,+3.475s
17,3,Satoru NakajimaNAK,Tyrrell Ford,1:19.199,+3.486s
18,23,Pierluigi MartiniMAR,Minardi Ford,1:19.365,+3.652s
19,10,Alex CaffiCAF,Arrows Ford,1:19.955,+4.242s
20,21,Emanuele PirroPIR,Dallara Ford,1:20.132,+4.419s
21,16,Ivan CapelliCAP,Leyton House Judd,1:20.421,+4.708s
22,24,Gianni MorbidelliMOR,Minardi Ford,1:20.513,+4.800s
23,18,Yannick DalmasDAL,AGS Ford,1:20.621,+4.908s
24,14,Olivier GrouillardGRO,Osella Ford,1:20.937,+5.224s
25,11,Derek WarwickWAR,Lotus Lamborghini,1:21.023,+5.310s
26,12,Johnny HerbertHER,Lotus Lamborghini,1:21.050,+5.337s
27,17,Gabriele TarquiniTAR,AGS Ford,1:21.400,+5.687s
28,9,Michele AlboretoALB,Arrows Ford,1:21.556,+5.843s
29,7,David BrabhamBRA,Brabham Judd,1:21.557,+5.844s
30,31,Bertrand GachotGAC,Coloni Ford,1:23.697,+7.984s
