Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:42.243,
2,1,Alain ProstPRO,Ferrari,1:42.333,+0.090s
3,19,Alessandro NanniniNAN,Benetton Ford,1:42.672,+0.429s
4,28,Gerhard BergerBER,McLaren Honda,1:42.745,+0.502s
5,6,Riccardo PatresePAT,Williams Renault,1:42.922,+0.679s
6,20,Nelson PiquetPIQ,Benetton Ford,1:42.967,+0.724s
7,4,Jean AlesiALE,Tyrrell Ford,1:43.354,+1.111s
8,2,Nigel MansellMAN,Ferrari,1:43.509,+1.266s
9,5,Thierry BoutsenBOU,Williams Renault,1:43.587,+1.344s
10,3,Satoru NakajimaNAK,Tyrrell Ford,1:44.764,+2.521s
11,15,Mauricio GugelminGUG,Leyton House Judd,1:44.911,+2.668s
12,11,Derek WarwickWAR,Lotus Lamborghini,1:45.202,+2.959s
13,29,Eric BernardBER,Lola Lamborghini,1:45.336,+3.093s
14,30,Aguri SuzukiSUZ,Lola Lamborghini,1:45.549,+3.306s
15,9,Michele AlboretoALB,Arrows Ford,1:45.725,+3.482s
16,23,Pierluigi MartiniMAR,Minardi Ford,1:45.818,+3.575s
17,12,Martin DonnellyDON,Lotus Lamborghini,1:45.914,+3.671s
18,10,Alex CaffiCAF,Arrows Ford,1:46.345,+4.102s
19,8,Stefano ModenaMOD,Brabham Judd,1:46.407,+4.164s
20,7,David BrabhamBRA,Brabham Judd,1:46.603,+4.360s
21,26,Philippe AlliotALL,Ligier Ford,1:46.640,+4.397s
22,25,Nicola LariniLAR,Ligier Ford,1:46.817,+4.574s
23,16,Ivan CapelliCAP,Leyton House Judd,1:46.999,+4.756s
24,21,Emanuele PirroPIR,Dallara Ford,1:47.558,+5.315s
25,18,Yannick DalmasDAL,AGS Ford,1:48.267,+6.024s
26,36,Jyrki JarvilehtoJAR,Onyx Ford,1:48.482,+6.239s
27,24,Paolo BarillaBAR,Minardi Ford,1:48.562,+6.319s
28,14,Olivier GrouillardGRO,Osella Ford,1:49.360,+7.117s
29,35,Gregor FoitekFOI,Onyx Ford,1:49.389,+7.146s
30,22,Andrea de CesarisDEC,Dallara Ford,1:51.346,+9.103s
