Pos,No,Driver,Car,Time,Gap
1,4,Jean AlesiALE,Tyrrell Ford,1:28.740,
2,27,Ayrton SennaSEN,McLaren Honda,1:29.339,+0.599s
3,28,Gerhard BergerBER,McLaren Honda,1:29.765,+1.025s
4,1,Alain ProstPRO,Ferrari,1:30.490,+1.750s
5,3,Satoru NakajimaNAK,Tyrrell Ford,1:30.633,+1.893s
6,20,Nelson PiquetPIQ,Benetton Ford,1:30.718,+1.978s
7,5,Thierry BoutsenBOU,Williams Renault,1:30.990,+2.250s
8,6,Riccardo PatresePAT,Williams Renault,1:31.063,+2.323s
9,23,Pierluigi MartiniMAR,Minardi Ford,1:31.296,+2.556s
10,26,Philippe AlliotALL,Ligier Ford,1:31.489,+2.749s
11,2,Nigel MansellMAN,Ferrari,1:31.598,+2.858s
12,10,Bernd SchneiderSCH,Arrows Ford,1:31.903,+3.163s
13,29,Eric BernardBER,Lola Lamborghini,1:31.980,+3.240s
14,8,Stefano ModenaMOD,Brabham Judd,1:32.112,+3.372s
15,22,Andrea de CesarisDEC,Dallara Ford,1:32.185,+3.445s
16,19,Alessandro NanniniNAN,Benetton Ford,1:32.208,+3.468s
17,33,Roberto MorenoMOR,Euro Brun Judd,1:32.630,+3.890s
18,30,Aguri SuzukiSUZ,Lola Lamborghini,1:32.678,+3.938s
19,21,Gianni MorbidelliMOR,Dallara Ford,1:32.777,+4.037s
20,36,Jyrki JarvilehtoJAR,Onyx Ford,1:33.124,+4.384s
21,35,Stefan JohanssonJOH,Onyx Ford,1:33.158,+4.418s
22,25,Nicola LariniLAR,Ligier Ford,1:33.214,+4.474s
23,12,Martin DonnellyDON,Lotus Lamborghini,1:33.429,+4.689s
24,14,Olivier GrouillardGRO,Osella Ford,1:33.751,+5.011s
25,24,Paolo BarillaBAR,Minardi Ford,1:33.754,+5.014s
26,16,Ivan CapelliCAP,Leyton House Judd,1:33.987,+5.247s
27,11,Derek WarwickWAR,Lotus Lamborghini,1:34.144,+5.404s
28,15,Mauricio GugelminGUG,Leyton House Judd,1:34.285,+5.545s
29,7,Gregor FoitekFOI,Brabham Judd,1:34.345,+5.605s
30,9,Michele AlboretoALB,Arrows Ford,1:35.374,+6.634s
