Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:21.357,
2,20,Nelson PiquetPIQ,Benetton Ford,1:21.932,+0.575s
3,28,Gerhard BergerBER,McLaren Honda,1:21.934,+0.577s
4,6,Riccardo PatresePAT,Williams Renault,1:22.108,+0.751s
5,19,Alessandro NanniniNAN,Benetton Ford,1:22.114,+0.757s
6,1,Alain ProstPRO,Ferrari,1:22.285,+0.928s
7,2,Nigel MansellMAN,Ferrari,1:22.540,+1.183s
8,5,Thierry BoutsenBOU,Williams Renault,1:22.681,+1.324s
9,8,Stefano ModenaMOD,Brabham Judd,1:23.815,+2.458s
10,11,Derek WarwickWAR,Lotus Lamborghini,1:23.896,+2.539s
11,22,Andrea de CesarisDEC,Dallara Ford,1:24.445,+3.088s
12,14,Olivier GrouillardGRO,Osella Ford,1:24.582,+3.225s
13,26,Philippe AlliotALL,Ligier Ford,1:24.844,+3.487s
14,30,Aguri SuzukiSUZ,Lola Lamborghini,1:24.850,+3.493s
15,33,Roberto MorenoMOR,Euro Brun Judd,1:24.998,+3.641s
16,12,Martin DonnellyDON,Lotus Lamborghini,1:25.087,+3.730s
17,10,Alex CaffiCAF,Arrows Ford,1:25.129,+3.772s
18,29,Eric BernardBER,Lola Lamborghini,1:25.146,+3.789s
19,21,Emanuele PirroPIR,Dallara Ford,1:25.193,+3.836s
20,9,Michele AlboretoALB,Arrows Ford,1:25.266,+3.909s
21,35,Gregor FoitekFOI,Onyx Ford,1:25.369,+4.012s
22,4,Jean AlesiALE,Tyrrell Ford,1:25.392,+4.035s
23,25,Nicola LariniLAR,Ligier Ford,1:25.589,+4.232s
24,3,Satoru NakajimaNAK,Tyrrell Ford,1:25.633,+4.276s
25,36,Jyrki JarvilehtoJAR,Onyx Ford,1:25.753,+4.396s
26,23,Pierluigi MartiniMAR,Minardi Ford,1:25.764,+4.407s
27,16,Ivan CapelliCAP,Leyton House Judd,1:25.808,+4.451s
28,7,David BrabhamBRA,Brabham Judd,1:27.193,+5.836s
29,15,Mauricio GugelminGUG,Leyton House Judd,1:27.949,+6.592s
30,24,Paolo BarillaBAR,Minardi Ford,1:28.826,+7.469s
