Pos,No,Driver,Car,Time,Gap
1,4,Jean AlesiALE,Tyrrell Ford,1:22.730,
2,27,Ayrton SennaSEN,McLaren Honda,1:23.114,+0.384s
3,28,Gerhard BergerBER,McLaren Honda,1:23.554,+0.824s
4,2,Nigel MansellMAN,Ferrari,1:24.093,+1.363s
5,6,Riccardo PatresePAT,Williams Renault,1:24.513,+1.783s
6,23,Pierluigi MartiniMAR,Minardi Ford,1:24.864,+2.134s
7,11,Derek WarwickWAR,Lotus Lamborghini,1:24.884,+2.154s
8,5,Thierry BoutsenBOU,Williams Renault,1:24.999,+2.269s
9,8,Stefano ModenaMOD,Brabham Judd,1:25.037,+2.307s
10,12,Martin DonnellyDON,Lotus Lamborghini,1:25.056,+2.326s
11,1,Alain ProstPRO,Ferrari,1:25.073,+2.343s
12,20,Nelson PiquetPIQ,Benetton Ford,1:25.490,+2.760s
13,3,Satoru NakajimaNAK,Tyrrell Ford,1:25.503,+2.773s
14,29,Eric BernardBER,Lola Lamborghini,1:25.705,+2.975s
15,24,Paolo BarillaBAR,Minardi Ford,1:25.918,+3.188s
16,21,Emanuele PirroPIR,Dallara Ford,1:25.924,+3.194s
17,22,Andrea de CesarisDEC,Dallara Ford,1:26.004,+3.274s
18,33,Roberto MorenoMOR,Euro Brun Judd,1:26.044,+3.314s
19,19,Alessandro NanniniNAN,Benetton Ford,1:26.232,+3.502s
20,30,Aguri SuzukiSUZ,Lola Lamborghini,1:26.326,+3.596s
21,25,Nicola LariniLAR,Ligier Ford,1:26.519,+3.789s
22,10,Alex CaffiCAF,Arrows Ford,1:26.695,+3.965s
23,26,Philippe AlliotALL,Ligier Ford,1:27.061,+4.331s
24,14,Olivier GrouillardGRO,Osella Ford,1:27.406,+4.676s
25,9,Michele AlboretoALB,Arrows Ford,1:27.604,+4.874s
26,35,Gregor FoitekFOI,Onyx Ford,1:27.653,+4.923s
27,15,Mauricio GugelminGUG,Leyton House Judd,1:27.850,+5.120s
28,16,Ivan CapelliCAP,Leyton House Judd,1:28.552,+5.822s
29,36,Jyrki JarvilehtoJAR,Onyx Ford,1:28.816,+6.086s
30,7,David BrabhamBRA,Brabham Judd,1:28.869,+6.139s
