Pos,No,Driver,Car,Time,Gap
1,27,Ayrton SennaSEN,McLaren Honda,1:15.529,
2,28,Gerhard BergerBER,McLaren Honda,1:15.875,+0.346s
3,6,Riccardo PatresePAT,Williams Renault,1:15.990,+0.461s
4,1,Alain ProstPRO,Ferrari,1:16.023,+0.494s
5,2,Nigel MansellMAN,Ferrari,1:16.093,+0.564s
6,19,Alessandro NanniniNAN,Benetton Ford,1:16.462,+0.933s
7,4,Jean AlesiALE,Tyrrell Ford,1:16.471,+0.942s
8,30,Aguri SuzukiSUZ,Lola Lamborghini,1:16.632,+1.103s
9,20,Nelson PiquetPIQ,Benetton Ford,1:16.668,+1.139s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:17.304,+1.775s
11,3,Satoru NakajimaNAK,Tyrrell Ford,1:17.502,+1.973s
12,5,Thierry BoutsenBOU,Williams Renault,1:17.699,+2.170s
13,22,Andrea de CesarisDEC,Dallara Ford,1:17.982,+2.453s
14,12,Martin DonnellyDON,Lotus Lamborghini,1:18.216,+2.687s
15,11,Derek WarwickWAR,Lotus Lamborghini,1:18.422,+2.893s
16,8,Stefano ModenaMOD,Brabham Judd,1:18.475,+2.946s
17,26,Philippe AlliotALL,Ligier Ford,1:18.548,+3.019s
18,9,Michele AlboretoALB,Arrows Ford,1:18.842,+3.313s
19,10,Alex CaffiCAF,Arrows Ford,1:18.963,+3.434s
20,18,Yannick DalmasDAL,AGS Ford,1:19.129,+3.600s
21,15,Mauricio GugelminGUG,Leyton House Judd,1:19.345,+3.816s
22,24,Paolo BarillaBAR,Minardi Ford,1:19.452,+3.923s
23,25,Nicola LariniLAR,Ligier Ford,1:19.725,+4.196s
24,16,Ivan CapelliCAP,Leyton House Judd,1:20.631,+5.102s
25,14,Olivier GrouillardGRO,Osella Ford,1:20.654,+5.125s
26,21,Emanuele PirroPIR,Dallara Ford,1:20.675,+5.146s
27,7,David BrabhamBRA,Brabham Judd,1:20.709,+5.180s
28,31,Bertrand GachotGAC,Coloni Ford,1:20.961,+5.432s
29,17,Gabriele TarquiniTAR,AGS Ford,1:22.136,+6.607s
30,29,Eric BernardBER,Lola Lamborghini,1:22.505,+6.976s
