Pos,No,Driver,Car,Time,Gap,Laps
1,6,Nico RosbergROS,Mercedes,1:41.856,,20
2,44,Lewis HamiltonHAM,Mercedes,1:42.137,+0.281s,20
3,5,Sebastian VettelVET,Ferrari,1:42.185,+0.329s,20
4,11,Sergio PerezPER,Force India Mercedes,1:42.448,+0.592s,18
5,7,Kimi RäikkönenRAI,Ferrari,1:42.627,+0.771s,18
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:42.726,+0.870s,15
7,27,Nico HulkenbergHUL,Force India Mercedes,1:42.859,+1.003s,18
8,19,Felipe MassaMAS,Williams Mercedes,1:43.173,+1.317s,24
9,77,Valtteri BottasBOT,Williams Mercedes,1:43.239,+1.383s,19
10,55,Carlos SainzSAI,STR Renault,1:43.429,+1.573s,22
11,22,Jenson ButtonBUT,McLaren Honda,1:43.508,+1.652s,15
12,13,Pastor MaldonadoMAL,Lotus Mercedes,1:43.680,+1.824s,18
13,12,Felipe NasrNAS,Sauber Ferrari,1:43.718,+1.862s,24
14,33,Max VerstappenVER,STR Renault,1:43.826,+1.970s,19
15,8,Romain GrosjeanGRO,Lotus Mercedes,1:43.928,+2.072s,21
16,14,Fernando AlonsoALO,McLaren Honda,1:44.014,+2.158s,13
17,9,Marcus EricssonERI,Sauber Ferrari,1:44.325,+2.469s,21
18,28,Will StevensSTE,Marussia Ferrari,1:47.283,+5.427s,16
19,98,Roberto MerhiMER,Marussia Ferrari,1:47.520,+5.664s,17
20,26,Daniil KvyatKVY,Red Bull Racing Renault,,,2
