Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:27.661,21
2,5,Damon HillHIL,Williams Renault,1:28.039,23
3,6,David CoulthardCOU,Williams Renault,1:28.091,24
4,28,Gerhard BergerBER,Ferrari,1:28.189,21
5,27,Jean AlesiALE,Ferrari,1:28.474,20
6,2,Johnny HerbertHER,Benetton Renault,1:28.498,21
7,8,Mika HakkinenHAK,McLaren Mercedes,1:28.910,21
8,15,Eddie IrvineIRV,Jordan Peugeot,1:29.021,21
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:29.171,22
10,7,Mark BlundellBLU,McLaren Mercedes,1:29.641,24
11,26,Olivier PanisPAN,Ligier Mugen Honda,1:29.809,21
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:30.017,23
13,9,Gianni MorbidelliMOR,Footwork Hart,1:30.159,23
14,25,Martin BrundleBRU,Ligier Mugen Honda,1:30.255,16
15,4,Mika SaloSAL,Tyrrell Yamaha,1:30.657,23
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:31.382,18
17,23,Pierluigi MartiniMAR,Minardi Ford,1:31.445,23
18,29,Jean-Christophe BoullionBOU,Sauber Ford,1:31.838,24
19,24,Luca BadoerBAD,Minardi Ford,1:31.853,23
20,16,Bertrand GachotGAC,Pacific Ilmor,1:32.841,24
21,17,Andrea MonterminiMON,Pacific Ilmor,1:32.894,21
22,10,Taki InoueINO,Footwork Hart,1:32.995,12
23,22,Roberto MorenoMOR,Forti Ford,1:34.000,15
24,21,Pedro DinizDIN,Forti Ford,1:34.982,19
