Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:27.274,18
2,28,Gerhard BergerBER,Ferrari,1:27.282,15
3,6,David CoulthardCOU,Williams Renault,1:27.459,21
4,5,Damon HillHIL,Williams Renault,1:27.512,24
5,27,Jean AlesiALE,Ferrari,1:27.813,23
6,8,Mika HakkinenHAK,McLaren Mercedes,1:28.343,11
7,15,Eddie IrvineIRV,Jordan Peugeot,1:28.516,11
8,2,Johnny HerbertHER,Benetton Renault,1:29.350,22
9,7,Nigel MansellMAN,McLaren Mercedes,1:29.517,21
10,14,Rubens BarrichelloBAR,Jordan Peugeot,1:29.551,23
11,9,Gianni MorbidelliMOR,Footwork Hart,1:29.582,17
12,26,Olivier PanisPAN,Ligier Mugen Honda,1:30.760,23
13,4,Mika SaloSAL,Tyrrell Yamaha,1:31.035,22
14,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:31.358,24
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:31.630,23
16,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:31.913,23
17,12,Jos VerstappenVER,Simtek Ford,1:32.156,22
18,23,Pierluigi MartiniMAR,Minardi Ford,1:32.445,20
19,10,Taki InoueINO,Footwork Hart,1:32.710,24
20,24,Luca BadoerBAD,Minardi Ford,1:33.071,24
21,29,Karl WendlingerWEN,Sauber Ford,1:33.494,23
22,16,Bertrand GachotGAC,Pacific Ilmor,1:33.892,19
23,11,Domenico SchiattarellaSCH,Simtek Ford,1:33.965,20
24,17,Andrea MonterminiMON,Pacific Ilmor,1:35.169,20
25,22,Roberto MorenoMOR,Forti Ford,1:36.065,17
26,21,Pedro DinizDIN,Forti Ford,1:36.624,24
