Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:21.952,23
2,1,Michael SchumacherMSC,Benetton Renault,1:22.742,21
3,6,David CoulthardCOU,Williams Renault,1:23.109,23
4,28,Gerhard BergerBER,Ferrari,1:23.220,17
5,27,Jean AlesiALE,Ferrari,1:23.754,12
6,8,Mika HakkinenHAK,McLaren Mercedes,1:23.857,22
7,2,Johnny HerbertHER,Benetton Renault,1:23.885,22
8,25,Martin BrundleBRU,Ligier Mugen Honda,1:24.447,18
9,15,Eddie IrvineIRV,Jordan Peugeot,1:24.857,22
10,7,Mark BlundellBLU,McLaren Mercedes,1:24.933,19
11,14,Rubens BarrichelloBAR,Jordan Peugeot,1:25.081,24
12,26,Olivier PanisPAN,Ligier Mugen Honda,1:25.125,24
13,9,Gianni MorbidelliMOR,Footwork Hart,1:25.447,22
14,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:25.661,11
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.808,23
16,24,Luca BadoerBAD,Minardi Ford,1:25.969,24
17,4,Mika SaloSAL,Tyrrell Yamaha,1:26.473,24
18,23,Pierluigi MartiniMAR,Minardi Ford,1:26.913,22
19,29,Jean-Christophe BoullionBOU,Sauber Ford,1:27.145,21
20,11,Domenico SchiattarellaSCH,Simtek Ford,1:28.337,17
21,16,Bertrand GachotGAC,Pacific Ilmor,1:29.039,17
22,21,Pedro DinizDIN,Forti Ford,1:29.244,16
23,12,Jos VerstappenVER,Simtek Ford,1:29.391,8
24,22,Roberto MorenoMOR,Forti Ford,1:29.608,13
25,17,Andrea MonterminiMON,Pacific Ilmor,1:30.149,12
26,10,Taki InoueINO,Footwork Hart,1:31.542,8
