Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:17.225,23
2,1,Michael SchumacherMSC,Benetton Renault,1:17.512,24
3,6,David CoulthardCOU,Williams Renault,1:17.925,21
4,27,Jean AlesiALE,Ferrari,1:18.761,20
5,14,Rubens BarrichelloBAR,Jordan Peugeot,1:18.810,22
6,26,Olivier PanisPAN,Ligier Mugen Honda,1:19.047,22
7,28,Gerhard BergerBER,Ferrari,1:19.051,20
8,8,Mika HakkinenHAK,McLaren Mercedes,1:19.238,22
9,25,Martin BrundleBRU,Ligier Mugen Honda,1:19.384,15
10,2,Johnny HerbertHER,Benetton Renault,1:19.555,21
11,15,Eddie IrvineIRV,Jordan Peugeot,1:19.845,19
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:20.309,20
13,7,Mark BlundellBLU,McLaren Mercedes,1:20.527,24
14,4,Mika SaloSAL,Tyrrell Yamaha,1:20.796,22
15,29,Jean-Christophe BoullionBOU,Sauber Ford,1:20.943,23
16,9,Gianni MorbidelliMOR,Footwork Hart,1:21.076,24
17,24,Luca BadoerBAD,Minardi Ford,1:21.323,12
18,10,Taki InoueINO,Footwork Hart,1:21.894,24
19,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.930,16
20,23,Pierluigi MartiniMAR,Minardi Ford,1:22.104,12
21,17,Andrea MonterminiMON,Pacific Ilmor,1:23.466,22
22,16,Bertrand GachotGAC,Pacific Ilmor,1:23.647,21
23,21,Pedro DinizDIN,Forti Ford,1:24.184,19
24,22,Roberto MorenoMOR,Forti Ford,1:24.865,21
