Pos,No,Driver,Car,Time,Laps
1,6,David CoulthardCOU,Williams Renault,1:53.241,16
2,5,Damon HillHIL,Williams Renault,1:54.057,17
3,1,Michael SchumacherMSC,Benetton Renault,1:54.272,17
4,15,Eddie IrvineIRV,Jordan Peugeot,1:54.381,14
5,8,Mika HakkinenHAK,McLaren Mercedes,1:54.529,20
6,27,Jean AlesiALE,Ferrari,1:54.637,22
7,4,Mika SaloSAL,Tyrrell Yamaha,1:54.757,16
8,28,Gerhard BergerBER,Ferrari,1:55.276,17
9,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:55.583,19
10,14,Rubens BarrichelloBAR,Jordan Peugeot,1:56.114,20
11,2,Johnny HerbertHER,Benetton Renault,1:57.068,15
12,9,Gianni MorbidelliMOR,Footwork Hart,1:57.092,12
13,24,Luca BadoerBAD,Minardi Ford,1:57.167,16
14,12,Jos VerstappenVER,Simtek Ford,1:57.231,14
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:57.484,20
16,23,Pierluigi MartiniMAR,Minardi Ford,1:58.066,11
17,7,Mark BlundellBLU,McLaren Mercedes,1:58.660,15
18,26,Olivier PanisPAN,Ligier Mugen Honda,1:58.824,16
19,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:58.882,15
20,11,Domenico SchiattarellaSCH,Simtek Ford,1:59.539,17
21,29,Karl WendlingerWEN,Sauber Ford,2:00.751,17
22,17,Andrea MonterminiMON,Pacific Ilmor,2:01.763,13
23,16,Bertrand GachotGAC,Pacific Ilmor,2:04.050,16
24,22,Roberto MorenoMOR,Forti Ford,2:04.481,15
25,21,Pedro DinizDIN,Forti Ford,2:05.932,10
26,10,Taki InoueINO,Footwork Hart,2:07.298,4
