Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:38.023,17
2,27,Jean AlesiALE,Ferrari,1:38.888,16
3,8,Mika HakkinenHAK,McLaren Mercedes,1:38.954,16
4,5,Damon HillHIL,Williams Renault,1:39.032,19
5,28,Gerhard BergerBER,Ferrari,1:39.040,15
6,6,David CoulthardCOU,Williams Renault,1:39.155,21
7,15,Eddie IrvineIRV,Jordan Peugeot,1:39.621,15
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:40.010,17
9,2,Johnny HerbertHER,Benetton Renault,1:40.349,15
10,14,Rubens BarrichelloBAR,Jordan Peugeot,1:40.381,23
11,26,Olivier PanisPAN,Ligier Mugen Honda,1:40.838,19
12,4,Mika SaloSAL,Tyrrell Yamaha,1:41.355,21
13,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:41.592,20
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:41.977,19
15,9,Gianni MorbidelliMOR,Footwork Hart,1:42.059,16
16,29,Karl WendlingerWEN,Sauber Ford,1:42.912,21
17,23,Pedro LamyLAM,Minardi Ford,1:43.102,22
18,24,Luca BadoerBAD,Minardi Ford,1:43.542,20
19,10,Taki InoueINO,Footwork Hart,1:44.074,21
20,17,Andrea MonterminiMON,Pacific Ilmor,1:46.097,16
21,21,Pedro DinizDIN,Forti Ford,1:46.654,15
22,22,Roberto MorenoMOR,Forti Ford,1:48.267,10
23,16,Bertrand GachotGAC,Pacific Ilmor,1:48.289,15
24,7,Mark BlundellBLU,McLaren Mercedes,16:42.640,1
