Pos,No,Driver,Car,Time,Laps
1,6,David CoulthardCOU,Williams Renault,1:18.738,17
2,5,Damon HillHIL,Williams Renault,1:18.972,21
3,1,Michael SchumacherMSC,Benetton Renault,1:19.150,19
4,28,Gerhard BergerBER,Ferrari,1:19.821,18
5,15,Eddie IrvineIRV,Jordan Peugeot,1:20.488,19
6,27,Jean AlesiALE,Ferrari,1:20.510,15
7,2,Johnny HerbertHER,Benetton Renault,1:20.653,20
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:20.749,22
9,8,Mika HakkinenHAK,McLaren Mercedes,1:20.866,22
10,7,Mark BlundellBLU,McLaren Mercedes,1:20.909,21
11,14,Rubens BarrichelloBAR,Jordan Peugeot,1:21.211,23
12,25,Martin BrundleBRU,Ligier Mugen Honda,1:21.541,19
13,29,Jean-Christophe BoullionBOU,Sauber Ford,1:22.059,13
14,26,Olivier PanisPAN,Ligier Mugen Honda,1:22.062,11
15,4,Mika SaloSAL,Tyrrell Yamaha,1:23.058,19
16,23,Pedro LamyLAM,Minardi Ford,1:23.328,15
17,9,Massimiliano PapisPAP,Footwork Hart,1:23.689,16
18,24,Luca BadoerBAD,Minardi Ford,1:23.760,15
19,3,Gabriele TarquiniTAR,Tyrrell Yamaha,1:24.286,17
20,17,Andrea MonterminiMON,Pacific Ilmor,1:24.696,16
21,10,Taki InoueINO,Footwork Hart,1:24.900,13
22,21,Pedro DinizDIN,Forti Ford,1:25.157,19
23,22,Roberto MorenoMOR,Forti Ford,1:26.098,20
24,16,Jean-Denis DeletrazDEL,Pacific Ilmor,1:27.853,18
