Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:28.124,19
2,1,Michael SchumacherMSC,Benetton Renault,1:28.397,19
3,6,David CoulthardCOU,Williams Renault,1:28.947,20
4,28,Gerhard BergerBER,Ferrari,1:29.657,14
5,2,Johnny HerbertHER,Benetton Renault,1:29.867,15
6,27,Jean AlesiALE,Ferrari,1:29.874,21
7,15,Eddie IrvineIRV,Jordan Peugeot,1:30.083,13
8,8,Mika HakkinenHAK,McLaren Mercedes,1:30.140,12
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:30.354,18
10,7,Mark BlundellBLU,McLaren Mercedes,1:30.453,12
11,25,Martin BrundleBRU,Ligier Mugen Honda,1:30.946,17
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:31.602,17
13,26,Olivier PanisPAN,Ligier Mugen Honda,1:31.842,15
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:32.087,18
15,23,Pierluigi MartiniMAR,Minardi Ford,1:32.259,14
16,29,Jean-Christophe BoullionBOU,Sauber Ford,1:33.166,21
17,9,Massimiliano PapisPAP,Footwork Hart,1:34.154,17
18,24,Luca BadoerBAD,Minardi Ford,1:34.556,15
19,10,Taki InoueINO,Footwork Hart,1:35.323,12
20,21,Pedro DinizDIN,Forti Ford,1:36.023,14
21,16,Bertrand GachotGAC,Pacific Ilmor,1:36.076,7
22,22,Roberto MorenoMOR,Forti Ford,1:36.651,23
23,4,Mika SaloSAL,Tyrrell Yamaha,1:48.639,9
24,17,Andrea MonterminiMON,Pacific Ilmor,1:52.398,3
