Pos,No,Driver,Car,Time,Laps
1,6,David CoulthardCOU,Williams Renault,1:14.013,16
2,5,Damon HillHIL,Williams Renault,1:14.213,17
3,1,Michael SchumacherMSC,Benetton Renault,1:14.284,24
4,27,Jean AlesiALE,Ferrari,1:14.919,15
5,28,Gerhard BergerBER,Ferrari,1:14.974,16
6,15,Eddie IrvineIRV,Jordan Peugeot,1:15.354,24
7,2,Johnny HerbertHER,Benetton Renault,1:15.556,24
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:15.561,14
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:15.621,20
10,7,Mark BlundellBLU,McLaren Mercedes,1:15.652,22
11,14,Rubens BarrichelloBAR,Jordan Peugeot,1:15.774,23
12,8,Jan MagnussenMAG,McLaren Mercedes,1:16.339,19
13,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:16.519,20
14,23,Pedro LamyLAM,Minardi Ford,1:16.596,22
15,29,Jean-Christophe BoullionBOU,Sauber Ford,1:16.646,12
16,24,Luca BadoerBAD,Minardi Ford,1:16.887,24
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:17.014,24
18,4,Mika SaloSAL,Tyrrell Yamaha,1:17.213,24
19,9,Gianni MorbidelliMOR,Footwork Hart,1:18.114,24
20,10,Taki InoueINO,Footwork Hart,1:18.212,24
21,21,Pedro DinizDIN,Forti Ford,1:19.579,22
22,22,Roberto MorenoMOR,Forti Ford,1:19.745,23
23,17,Andrea MonterminiMON,Pacific Ilmor,1:20.093,11
24,16,Bertrand GachotGAC,Pacific Ilmor,1:21.405,17
