Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Bob SweikertSWE,Kurtis Kraft Offenhauser,200,3:53:59.530,8
2,10,Tony  BettenhausenBET,Kurtis Kraft Offenhauser,200,+163.560s,3
2,10,Paul RussoRUS,Kurtis Kraft Offenhauser,,SHC,3
3,15,Jimmy DaviesDAV,Kurtis Kraft Offenhauser,200,OK,4
4,44,Johnny ThomsonTHO,Kuzma Offenhauser,200,OK,3
5,77,Walt  FaulknerFAU,Kurtis Kraft Offenhauser,200,OK,1
5,77,Bill HomeierHOM,Kurtis Kraft Offenhauser,,SHC,1
6,19,Andy LindenLIN,Kurtis Kraft Offenhauser,200,OK,0
7,71,Al  HermanHER,Kurtis Kraft Offenhauser,200,OK,0
8,29,Pat  O'ConnorO'C,Kurtis Kraft Offenhauser,200,OK,0
9,48,Jimmy  DaywaltDAY,Kurtis Kraft Offenhauser,200,OK,0
10,89,Pat FlahertyFLA,Kurtis Kraft Offenhauser,200,OK,0
11,98,Duane CarterCAR,Kuzma Offenhauser,197,+3 laps,0
12,41,Chuck  WeyantWEY,Kurtis Kraft Offenhauser,196,+4 laps,0
13,83,Eddie JohnsonJOH,Trevis Offenhauser,196,+4 laps,0
14,33,Jim RathmannRAT,Epperly Offenhauser,191,+9 laps,0
15,12,Don  FreelandFRE,Phillips Offenhauser,178,DNF,0
16,22,Cal  NidayNID,Kurtis Kraft Offenhauser,170,DNF,0
17,99,Art CrossCRO,Kurtis Kraft Offenhauser,168,DNF,0
18,81,Shorty  TemplemanTEM,Trevis Offenhauser,142,DNF,0
19,8,Sam HanksHAN,Kurtis Kraft Offenhauser,134,DNF,0
20,31,Keith  AndrewsAND,Schroeder Offenhauser,120,DNF,0
21,16,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,119,DNF,0
22,37,Eddie  RussoRUS,Pawl Offenhauser,112,DNF,0
23,49,Ray  CrawfordCRA,Kurtis Kraft Offenhauser,111,DNF,0
24,1,Jimmy BryanBRY,Kuzma Offenhauser,90,DNF,0
25,4,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,56,DNF,1
26,3,Jack McGrathMCG,Kurtis Kraft Offenhauser,54,DNF,0
27,42,Al  KellerKEL,Kurtis Kraft Offenhauser,54,DNF,0
28,27,Rodger WardWAR,Kuzma Offenhauser,53,DNF,0
29,39,Johnny  BoydBOY,Kurtis Kraft Offenhauser,53,DNF,0
30,68,Ed  ElisianELI,Kurtis Kraft Offenhauser,53,DNF,0
31,23,Jerry  HoytHOY,Stevens Offenhauser,40,DNF,0
32,14,Fred AgabashianAGA,Kurtis Kraft Offenhauser,39,DNF,0
33,5,Jimmy ReeceREE,Pankratz Offenhauser,10,DNF,0
