Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:28.124
2,1,Michael SchumacherMSC,Benetton Renault,1:28.397
3,6,David CoulthardCOU,Williams Renault,1:28.947
4,28,Gerhard BergerBER,Ferrari,1:29.657
5,2,Johnny HerbertHER,Benetton Renault,1:29.867
6,27,Jean AlesiALE,Ferrari,1:29.874
7,15,Eddie IrvineIRV,Jordan Peugeot,1:30.083
8,8,Mika HakkinenHAK,McLaren Mercedes,1:30.140
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:30.354
10,7,Mark BlundellBLU,McLaren Mercedes,1:30.453
11,25,Martin BrundleBRU,Ligier Mugen Honda,1:30.946
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:31.602
13,26,Olivier PanisPAN,Ligier Mugen Honda,1:31.842
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:32.087
15,23,Pierluigi MartiniMAR,Minardi Ford,1:32.259
16,29,Jean-Christophe BoullionBOU,Sauber Ford,1:33.166
17,9,Massimiliano PapisPAP,Footwork Hart,1:34.154
18,24,Luca BadoerBAD,Minardi Ford,1:34.556
19,10,Taki InoueINO,Footwork Hart,1:35.323
20,21,Pedro DinizDIN,Forti Ford,1:36.023
21,16,Bertrand GachotGAC,Pacific Ilmor,1:36.076
22,22,Roberto MorenoMOR,Forti Ford,1:36.651
23,4,Mika SaloSAL,Tyrrell Yamaha,1:48.639
24,17,Andrea MonterminiMON,Pacific Ilmor,1:52.398
