Pos,No,Driver,Car,Time
1,6,David CoulthardCOU,Williams Renault,1:14.013
2,5,Damon HillHIL,Williams Renault,1:14.213
3,1,Michael SchumacherMSC,Benetton Renault,1:14.284
4,27,Jean AlesiALE,Ferrari,1:14.919
5,28,Gerhard BergerBER,Ferrari,1:14.974
6,15,Eddie IrvineIRV,Jordan Peugeot,1:15.354
7,2,Johnny HerbertHER,Benetton Renault,1:15.556
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:15.561
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:15.621
10,7,Mark BlundellBLU,McLaren Mercedes,1:15.652
11,14,Rubens BarrichelloBAR,Jordan Peugeot,1:15.774
12,8,Jan MagnussenMAG,McLaren Mercedes,1:16.339
13,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:16.519
14,23,Pedro LamyLAM,Minardi Ford,1:16.596
15,29,Jean-Christophe BoullionBOU,Sauber Ford,1:16.646
16,24,Luca BadoerBAD,Minardi Ford,1:16.887
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:17.014
18,4,Mika SaloSAL,Tyrrell Yamaha,1:17.213
19,9,Gianni MorbidelliMOR,Footwork Hart,1:18.114
20,10,Taki InoueINO,Footwork Hart,1:18.212
21,21,Pedro DinizDIN,Forti Ford,1:19.579
22,22,Roberto MorenoMOR,Forti Ford,1:19.745
23,17,Andrea MonterminiMON,Pacific Ilmor,1:20.093
24,16,Bertrand GachotGAC,Pacific Ilmor,1:21.405
