Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:25.269
2,44,Lewis HamiltonHAM,Mercedes,1:25.525
3,33,Max VerstappenVER,Red Bull Racing Honda,1:25.562
4,16,Charles LeclercLEC,Ferrari,1:26.035
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:26.047
6,3,Daniel RicciardoRIC,Renault,1:26.223
7,31,Esteban OconOCO,Renault,1:26.242
8,4,Lando NorrisNOR,McLaren Renault,1:26.458
9,11,Sergio PerezPER,Racing Point BWT Mercedes,1:26.704
10,55,Carlos SainzSAI,McLaren Renault,1:26.709
11,5,Sebastian VettelVET,Ferrari,1:26.738
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:26.776
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:26.848
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:26.936
15,20,Kevin MagnussenMAG,Haas Ferrari,1:27.125
16,8,Romain GrosjeanGRO,Haas Ferrari,1:27.552
17,63,George RussellRUS,Williams Mercedes,1:27.564
18,6,Nicholas LatifiLAT,Williams Mercedes,1:27.812
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.817
20,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:28.021
