Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:16.652
2,77,Valtteri BottasBOT,Mercedes,1:16.754
3,33,Max VerstappenVER,Red Bull Racing Honda,1:16.904
4,16,Charles LeclercLEC,Ferrari,1:17.090
5,11,Sergio PerezPER,Racing Point BWT Mercedes,1:17.223
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:17.437
7,55,Carlos SainzSAI,McLaren Renault,1:17.520
8,4,Lando NorrisNOR,McLaren Renault,1:17.525
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:17.803
10,3,Daniel RicciardoRIC,Renault,
11,31,Esteban OconOCO,Renault,1:17.614
12,18,Lance StrollSTR,Racing Point BWT Mercedes,1:17.626
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:17.728
14,63,George RussellRUS,Williams Mercedes,1:17.788
15,5,Sebastian VettelVET,Ferrari,1:17.919
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:18.201
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:18.323
18,8,Romain GrosjeanGRO,Haas Ferrari,1:18.364
19,20,Kevin MagnussenMAG,Haas Ferrari,1:18.508
20,6,Nicholas LatifiLAT,Williams Mercedes,1:18.777
