Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,53.377
2,63,George RussellRUS,Mercedes,53.403
3,33,Max VerstappenVER,Red Bull Racing Honda,53.433
4,16,Charles LeclercLEC,Ferrari,53.613
5,11,Sergio PerezPER,Racing Point BWT Mercedes,53.790
6,26,Daniil KvyatKVY,AlphaTauri Honda,53.906
7,3,Daniel RicciardoRIC,Renault,53.957
8,55,Carlos SainzSAI,McLaren Renault,54.010
9,10,Pierre GaslyGAS,AlphaTauri Honda,54.154
10,18,Lance StrollSTR,Racing Point BWT Mercedes,54.200
11,31,Esteban OconOCO,Renault,53.995
12,23,Alexander AlbonALB,Red Bull Racing Honda,54.026
13,5,Sebastian VettelVET,Ferrari,54.175
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,54.377
15,20,Kevin MagnussenMAG,Haas Ferrari,54.705
16,6,Nicholas LatifiLAT,Williams Mercedes,54.796
17,89,Jack AitkenAIT,Williams Mercedes,54.892
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,54.963
19,4,Lando NorrisNOR,McLaren Renault,54.693
20,51,Pietro FittipaldiFIT,Haas Ferrari,55.426
